Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks,Seed,CT Tree Stepback,CT Tree Precision,Hostname,Oversized Geography Factor
2019-10-20T11:43:37.020,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,134358,10000,true,43099,P1Y,P10Y,24062,66391,66391,1855-01-01,1973-01-01,54.724122406,203.961478227,3.162165779,/home/tsd4/results/ss-scot-final/2019-10-20T11:43:37.020,0.0,0.0,0.9775,0.015,true,P147D,41863.768848,TD,0.0,184.155220795,118632,66148,1183354030,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
2019-10-20T11:51:30.686,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,5000749,400000,true,43099,P1Y,P10Y,921517,2451175,2451175,1855-01-01,1973-01-01,4429.182027556,1842.921080179,249.873272951,/home/tsd4/results/ss-scot-final/2019-10-20T11:51:30.686,0.0,0.0,0.0,0.0,true,P147D,52914.017568,TD,0.0,481.197228719,4531382,2555105,-81494712,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
2019-10-20T13:49:20.846,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,133993,10000,true,43099,P1Y,P10Y,24090,66148,66148,1855-01-01,1973-01-01,55.082251438,201.22288555,3.24439652,/home/tsd4/results/ss-scot-final/2019-10-20T13:49:20.846,0.0,0.0,0.9775,0.015,true,P147D,41808.6662,TD,0.0,171.509222549,117818,65446,1720272036,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
2019-10-20T13:56:58.991,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,1214130,100000,true,43099,P1Y,P10Y,225292,595595,595595,1855-01-01,1973-01-01,805.365038735,904.851525937,46.873729895,/home/tsd4/results/ss-scot-final/2019-10-20T13:56:58.991,0.0,0.0,0.0,0.0,true,P147D,44381.094944,TD,0.0,369.40596933,1096662,616693,1417461703,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
2019-10-20T14:32:59.590,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,12897,1000,true,43099,P1Y,P10Y,2368,6142,6142,1855-01-01,1973-01-01,6.401965146,98.999162176,0.245614721,/home/tsd4/results/ss-scot-final/2019-10-20T14:32:59.590,0.0,0.0,1.0,0.5,true,P147D,35983.673432,TD,0.0,93.219172409,10816,5717,1706246486,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
2019-10-20T14:36:47.920,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,132573,10000,true,43099,P1Y,P10Y,23775,65753,65753,1855-01-01,1973-01-01,54.234742294,201.430359394,3.240254251,/home/tsd4/results/ss-scot-final/2019-10-20T14:36:47.920,0.0,0.0,0.9775,0.015,true,P147D,39463.26272,TD,0.0,174.263072134,116128,64251,-577696171,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
2019-10-20T14:44:26.886,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,2476119,200000,true,43099,P1Y,P10Y,457547,1213227,1213227,1855-01-01,1973-01-01,1853.324162639,1220.67249108,114.732181472,/home/tsd4/results/ss-scot-final/2019-10-20T14:44:26.886,0.0,0.0,0.0,0.0,true,P147D,46016.343272,TD,0.0,413.453504946,2232576,1254371,-1604549405,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
2019-10-20T15:45:14.420,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,5005840,400000,true,43099,P1Y,P10Y,922229,2457796,2457796,1855-01-01,1973-01-01,4331.457274454,1826.535116667,256.945508897,/home/tsd4/results/ss-scot-final/2019-10-20T15:45:14.420,0.0,0.0,0.0,0.0,true,P147D,51501.12872,TD,0.0,477.843558787,4550312,2571237,-650158259,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
2019-10-20T17:41:11.555,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,13556,1000,true,43099,P1Y,P10Y,2445,6551,6551,1855-01-01,1973-01-01,6.286409706,97.822007805,0.275188955,/home/tsd4/results/ss-scot-final/2019-10-20T17:41:11.555,0.0,0.0,1.0,0.5,true,P147D,37095.711552,TD,0.0,94.557024041,12026,6714,-1079753462,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
2019-10-20T17:44:54.373,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,10612152,800000,true,43099,P1Y,P10Y,1909251,5254726,5254726,1855-01-01,1973-01-01,9245.426546523,2359.544421171,595.848960304,/home/tsd4/results/ss-scot-final/2019-10-20T17:44:54.373,0.0,0.0,1.0,0.25,true,P147D,67359.609736,TD,0.0,485.560281842,9287753,5138213,-66940144,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,2.0
2019-10-20T21:18:14.922,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,530187,40000,true,43099,P1Y,P10Y,95100,262545,262545,1855-01-01,1973-01-01,295.005046569,620.307434577,17.798774269,/home/tsd4/results/ss-scot-final/2019-10-20T21:18:14.922,0.0,0.0,0.5,0.0,true,P147D,39716.62484,TD,0.0,265.099622262,467245,261347,1956985442,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
2019-10-20T21:38:44.264,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,13308,1000,true,43099,P1Y,P10Y,2474,6326,6326,1855-01-01,1973-01-01,5.497014919,94.538689285,0.286260699,/home/tsd4/results/ss-scot-final/2019-10-20T21:38:44.264,0.0,0.0,1.0,0.5,true,P147D,37709.082488,TD,0.0,88.094612735,11376,6125,-1701474144,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
2019-10-20T21:42:16.146,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,532569,40000,true,43099,P1Y,P10Y,95891,263572,263572,1855-01-01,1973-01-01,288.445781628,589.369172052,15.983732452,/home/tsd4/results/ss-scot-final/2019-10-20T21:42:16.146,0.0,0.0,0.5,0.0,true,P147D,43181.111664,TD,0.0,276.678868256,473309,266770,497272580,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
