20170809-113532:294,3.77475828372553e-15,1,1,1,0,FALSE,9.232
20170809-115226:899,5.1714883699594e-05,1,1,1,0,FALSE,9.075
20170809-120432:137,2.52908827618192e-05,1,1,1,0,FALSE,9.035
20170809-121603:313,4.83193964831985e-05,1,1,0,0,FALSE,9.469
20170809-122744:425,2.27948512329101e-05,1,1,1,0,FALSE,9.08
20170809-123910:682,2.46669351611217e-11,1,1,0,0,FALSE,9.598
20170809-125044:560,0,1,1,1,0,FALSE,9
20170809-130150:845,0,1,1,0,0,FALSE,9.429
20170809-132018:390,0,1,1,1,0,FALSE,9.518
20170809-133104:981,0,1,1,0,0,FALSE,9.374
