Source,Age,NCIY,Date,freq
STAT,15to49,0,1794,318052.6058875777
SIM,-1,0,1955,53
SIM,-1,0,1956,40
SIM,-1,0,1953,52
STAT,15to49,0,1791,318226.7821875997
SIM,-1,0,1954,52
STAT,15to49,0,1790,318285.26226489514
SIM,-1,0,1951,61
SIM,-1,0,1952,56
SIM,-1,0,1950,45
STAT,15to49,0,1797,317890.1672307905
STAT,15to49,0,1796,317946.3790273305
STAT,15to49,0,1799,317764.6380764749
STAT,15to49,0,1798,317819.69292355975
SIM,-1,0,1919,39
SIM,-1,0,1917,63
SIM,-1,0,1918,57
SIM,-1,0,1926,46
STAT,15to49,0,1760,327619.7473776938
SIM,-1,0,1927,55
SIM,-1,0,1924,61
STAT,15to49,0,1762,326918.99109780387
SIM,-1,0,1925,62
STAT,15to49,0,1761,327279.8426480643
SIM,-1,0,1922,57
SIM,-1,0,1923,50
SIM,-1,0,1920,43
SIM,-1,0,1921,63
STAT,15to49,0,1768,324301.7643648982
STAT,15to49,0,1767,324769.3196659723
STAT,15to49,0,1769,323794.0028411722
STAT,15to49,0,1764,326125.8182105929
STAT,15to49,0,1763,326545.55908596417
STAT,15to49,0,1766,325237.1159153546
STAT,15to49,0,1765,325690.5030411681
SIM,50+,1,1980,1
SIM,-1,0,1928,60
SIM,-1,0,1929,65
SIM,-1,0,1937,67
STAT,15to49,0,1771,322842.951647651
SIM,-1,0,1938,48
STAT,15to49,0,1770,323304.868206585
SIM,-1,0,1935,58
STAT,15to49,0,1773,321935.0650666651
SIM,-1,0,1936,51
STAT,15to49,0,1772,322372.0258193369
SIM,-1,0,1933,47
STAT,50+,0,2000,238423.3257467685
SIM,-1,0,1934,57
SIM,-1,0,1931,62
SIM,-1,0,1932,54
STAT,50+,0,2004,238238.54130254232
STAT,15to49,0,1779,319835.6738742238
SIM,-1,0,1930,47
STAT,50+,0,2003,238284.72502383063
STAT,15to49,0,1778,320093.60966575105
STAT,50+,0,2002,238330.9170437152
STAT,50+,0,2001,238377.11729536517
STAT,50+,0,2008,238053.8916054862
STAT,15to49,0,1775,321094.9223661697
STAT,50+,0,2007,238100.04099177188
STAT,15to49,0,1774,321511.344489372
STAT,50+,0,2006,238146.1991613906
STAT,15to49,0,1777,320403.3885789003
STAT,50+,0,2005,238192.36597574435
STAT,15to49,0,1776,320734.94386556087
STAT,15to49,1,1926,19652.60735911625
STAT,15to49,1,1927,19648.795453309256
STAT,15to49,1,1924,19660.234043968718
STAT,15to49,1,1925,19656.42027607122
STAT,15to49,1,1928,19644.984695829393
STAT,15to49,1,1929,19641.17519018321
STAT,15to49,1,1922,19667.86341115845
STAT,15to49,1,1923,19664.048484285984
STAT,15to49,1,1920,19675.493990930838
STAT,15to49,1,1921,19671.678638596484
STAT,15to49,1,1937,19610.745694234356
STAT,15to49,1,1938,19606.946902424108
STAT,15to49,1,1935,19618.34596126373
STAT,15to49,1,1936,19614.545342709956
STAT,15to49,1,1939,19603.14885434017
STAT,15to49,1,1930,19637.367004804397
STAT,15to49,1,1933,19625.950545718068
STAT,15to49,1,1934,19622.147661840943
STAT,15to49,1,1931,19633.560173625978
STAT,15to49,1,1932,19629.75469657456
STAT,15to49,1,1948,19568.98780100654
STAT,15to49,1,1949,19565.194194401978
STAT,15to49,1,1946,19576.576401642098
STAT,15to49,1,1947,19572.781888077454
STAT,15to49,1,1940,19599.351443928612
STAT,15to49,1,1941,19595.5545771699
STAT,15to49,1,1944,19584.166564117502
STAT,15to49,1,1945,19580.3713015601
STAT,15to49,1,1942,19591.758176304455
STAT,15to49,1,1943,19587.96218402987
STAT,15to49,1,1959,19527.29835734355
STAT,15to49,1,1957,19534.87044395957
