start.time,action,v.M
20180712-103828:995,RETAIN,60
20180712-103831:888,RETAIN,31
20180712-103854:799,RETAIN,8
20180712-103927:356,RETAIN,0
20180712-103859:973,RETAIN,0
20180712-103930:577,RETAIN,0
20180712-104302:140,RETAIN,0
20180712-104210:308,RETAIN,0
20180712-104211:418,RETAIN,0
20180712-104242:765,RETAIN,0
20180712-104317:097,RETAIN,0
20180712-104236:717,RETAIN,0
20180712-104027:648,RETAIN,0
20180712-104122:198,RETAIN,12
20180712-104218:859,RETAIN,2
20180712-104611:965,RETAIN,0
20180712-104617:496,RETAIN,0
20180712-104148:743,RETAIN,13
20180712-104247:510,RETAIN,47
20180712-104655:068,RETAIN,16
20180712-104659:301,RETAIN,0
20180712-104724:547,RETAIN,0
20180712-104743:452,RETAIN,0
20180712-105049:898,RETAIN,0
20180712-105057:366,RETAIN,0
20180712-105133:604,RETAIN,0
20180712-105213:037,RETAIN,0
20180712-105133:955,RETAIN,0
20180712-105208:599,RETAIN,0
20180712-104926:780,RETAIN,4
20180712-105013:225,RETAIN,8
20180712-105112:615,RETAIN,1
20180712-105144:740,RETAIN,2
20180712-105148:072,RETAIN,19
20180712-105827:660,RETAIN,11
20180712-104058:490,RETAIN,0
20180712-105958:543,RETAIN,0
20180712-110039:166,RETAIN,4
20180712-110137:168,RETAIN,1
20180712-110130:530,RETAIN,4
20180712-110725:299,RETAIN,11
20180712-110925:276,RETAIN,0
20180712-110947:708,RETAIN,0
20180712-111054:161,RETAIN,0
20180712-111114:825,RETAIN,8
20180712-110121:393,RETAIN,5
20180712-113741:197,RETAIN,33
20180712-113809:724,RETAIN,3
20180712-113839:169,RETAIN,0
20180712-113740:617,RETAIN,30
20180712-113839:779,RETAIN,0
20180712-113809:725,RETAIN,4
20180712-112240:907,RETAIN,4
20180712-114505:430,RETAIN,4
20180712-114512:979,RETAIN,10
20180712-114607:479,RETAIN,14
20180712-114559:438,RETAIN,9
20180712-114553:238,RETAIN,29
20180712-114558:160,RETAIN,14
20180712-115346:243,RETAIN,8
20180712-115424:481,RETAIN,8
20180712-115423:431,RETAIN,8
20180712-115508:784,RETAIN,11
20180712-115448:122,RETAIN,8
20180712-115432:219,RETAIN,8
20180712-120226:133,RETAIN,6
20180712-120202:136,RETAIN,10
20180712-120335:944,RETAIN,0
20180712-120339:245,RETAIN,10
20180712-120249:609,RETAIN,12
20180712-120353:135,RETAIN,8
20180712-114357:819,RETAIN,1
