start.time,action,v.M
20180714-114610:417,RETAIN,36
20180714-115243:434,RETAIN,8
20180714-115422:495,RETAIN,2
20180714-115449:623,RETAIN,10
20180714-115539:489,RETAIN,4
20180714-115424:187,RETAIN,2
20180714-115250:923,RETAIN,6
20180714-115733:333,RETAIN,13
20180714-120023:234,RETAIN,24
20180714-115928:139,RETAIN,24
20180714-115926:010,RETAIN,10
20180714-115917:198,RETAIN,14
20180714-120305:561,RETAIN,12
20180714-120221:762,RETAIN,2
20180714-120431:309,RETAIN,28
20180714-120136:152,RERUN,12
20180714-120534:024,RETAIN,16
20180714-120510:995,RETAIN,9
20180714-120527:878,RETAIN,12
20180714-120542:475,RETAIN,12
20180714-120620:781,RETAIN,40
20180714-120848:175,RETAIN,14
20180714-121131:203,RETAIN,18
20180714-121224:739,RETAIN,13
20180714-121202:179,RETAIN,23
20180714-121133:862,RETAIN,10
20180714-121107:475,RETAIN,23
20180714-121109:984,RETAIN,42
20180714-121419:527,RETAIN,12
20180714-121123:372,RETAIN,15
20180714-121102:408,RETAIN,6
20180714-121834:379,RETAIN,37
20180714-121937:472,RETAIN,26
20180714-121829:688,RETAIN,22
20180714-121742:574,RERUN,62
20180714-121810:994,RERUN,10
20180714-121824:814,RETAIN,28
20180714-122009:851,RETAIN,10
20180714-120336:176,RETAIN,107
20180714-122025:685,RETAIN,15
20180714-121954:961,RETAIN,12
20180714-122426:911,RETAIN,16
20180714-122338:640,RETAIN,24
20180714-122613:148,RETAIN,25
20180714-122524:314,RETAIN,62
20180714-122452:846,RETAIN,15
20180714-122708:366,RETAIN,13
20180714-122422:901,RETAIN,15
20180714-122946:832,RETAIN,18
20180714-122942:406,RETAIN,11
20180714-122917:944,RETAIN,0
20180714-123300:352,RETAIN,20
20180714-122823:612,RETAIN,20
20180714-123251:824,RETAIN,17
20180714-123202:590,RETAIN,51
20180714-123232:759,RETAIN,17
20180714-123129:656,RETAIN,55
20180714-123642:891,RETAIN,2
20180714-123542:705,RETAIN,14
20180714-121734:248,RETAIN,26
20180714-123802:437,RETAIN,9
20180714-123937:459,RETAIN,18
20180714-123813:585,RETAIN,4
20180714-123700:586,RETAIN,16
20180714-123821:742,RETAIN,20
20180714-123917:273,RETAIN,55
20180714-123753:592,RETAIN,21
20180714-124121:433,RETAIN,23
20180714-124221:714,RETAIN,21
20180714-124426:409,RETAIN,18
20180714-124612:527,RETAIN,15
20180714-124541:162,RETAIN,14
20180714-124442:683,RETAIN,24
20180714-124636:164,RETAIN,20
20180714-124607:403,RETAIN,5
20180714-124656:013,RETAIN,25
20180714-124708:117,RETAIN,16
20180714-124918:787,RETAIN,49
20180714-124930:296,RETAIN,6
20180714-125237:931,RETAIN,9
20180714-125129:919,RETAIN,31
20180714-123214:716,RETAIN,25
20180714-125039:193,RETAIN,15
20180714-125320:884,RETAIN,22
20180714-125321:831,RETAIN,10
20180714-125438:342,RETAIN,28
20180714-125455:949,RETAIN,9
20180714-125537:147,RETAIN,0
20180714-125341:064,RETAIN,12
20180714-125713:619,RETAIN,0
20180714-125859:678,RETAIN,29
20180714-125638:024,RETAIN,19
20180714-130027:190,RETAIN,27
20180714-130208:164,RETAIN,5
20180714-130103:906,RETAIN,46
20180714-125909:656,RETAIN,15
20180714-130332:031,RETAIN,46
20180714-130559:673,RETAIN,26
20180714-130504:912,RETAIN,11
20180714-130456:876,RETAIN,5
20180714-130313:284,RETAIN,31
20180714-130731:885,RERUN,10
20180714-124719:180,RETAIN,76
20180714-130726:250,RETAIN,17
20180714-130758:496,RETAIN,0
20180714-130908:633,RETAIN,3
20180714-131009:169,RETAIN,18
20180714-131228:076,RETAIN,20
20180714-131147:479,RETAIN,12
20180714-131357:114,RETAIN,22
20180714-131421:964,RETAIN,13
20180714-131343:020,RETAIN,4
20180714-131545:345,RETAIN,44
20180714-131251:188,RERUN,7
20180714-131142:051,RETAIN,0
20180714-131630:276,RETAIN,18
20180714-131854:907,RETAIN,19
20180714-131833:157,RETAIN,14
