start.time,v.M
20180706-130023:379,51
20180706-130107:340,88
20180706-130041:358,96
20180706-130038:456,81
20180706-130222:105,14
20180706-130554:473,26
20180706-130616:322,11
20180706-130649:663,10
20180706-130706:546,20
20180706-130902:621,17
20180706-130916:535,14
20180706-130922:728,26
20180706-130952:869,57
20180706-130938:953,8
20180706-131026:640,11
20180706-130937:053,102
20180706-130955:000,39
20180706-131025:326,53
20180706-131004:993,23
20180706-131007:324,2
20180706-131010:757,41
20180706-131103:549,5
20180706-131049:047,21
20180706-131045:129,63
20180706-131051:019,108
20180706-131157:270,13
20180706-131219:585,10
20180706-131208:400,26
20180706-131209:040,18
20180706-130213:149,19
20180706-130235:202,19
20180706-131911:784,9
20180706-131919:153,9
20180706-130541:350,62
20180706-132020:725,56
20180706-132035:458,14
20180706-132057:252,5
20180706-130549:124,95
20180706-132050:984,18
20180706-132231:612,42
20180706-131944:516,8
20180706-131932:069,14
20180706-132132:284,32
20180706-132136:227,13
20180706-132037:874,11
20180706-132047:135,15
20180706-132027:023,1
20180706-132015:068,40
20180706-132032:884,13
20180706-132042:870,12
20180706-132323:192,86
20180706-132308:938,12
20180706-132924:089,15
20180706-132923:304,14
20180706-133019:151,12
20180706-133028:135,19
20180706-133127:012,104
20180706-133030:969,27
20180706-133103:781,24
20180706-133132:363,63
20180706-133143:468,57
20180706-133154:532,76
20180706-133158:646,70
20180706-133321:362,9
20180706-133326:863,30
20180706-133340:364,96
20180706-133349:786,20
20180706-133357:242,35
20180706-133421:923,14
20180706-133434:449,87
20180706-133439:698,76
20180706-132558:164,80
20180706-132609:738,54
20180706-134003:687,0
20180706-134020:345,20
20180706-134011:569,13
20180706-134050:175,28
20180706-134054:439,60
20180706-134118:350,32
20180706-134138:189,10
20180706-134345:964,42
20180706-134357:242,15
20180706-134408:948,21
20180706-134432:340,3
20180706-134407:922,41
20180706-134441:470,4
20180706-134947:041,40
20180706-134933:064,34
20180706-134954:604,17
20180706-135035:934,59
20180706-135030:779,56
20180706-132958:934,11
20180706-133052:736,5
20180706-135304:368,23
20180706-135321:734,95
20180706-135535:317,13
20180706-135545:428,98
20180706-135638:626,6
20180706-135632:845,8
20180706-135634:603,37
20180706-135709:109,102
20180706-135836:610,64
20180706-135853:276,10
20180706-135926:159,32
20180706-140027:470,12
20180706-140026:455,22
20180706-134843:695,12
20180706-134854:343,19
20180706-140051:800,66
20180706-140156:655,72
20180706-141119:131,11
20180706-141101:084,24
20180706-142428:791,10
20180706-142534:744,4
20180706-143413:343,36
20180706-143429:222,16
20180706-145337:861,21
20180706-145430:659,68
20180706-151619:201,29
20180706-151704:818,14
20180706-154424:929,89
20180706-154551:145,47
20180706-155855:779,27
20180706-155841:744,69
20180706-155947:019,2
20180706-160012:248,5
20180706-155716:767,8
20180706-155740:993,4
20180706-160916:083,17
20180706-160939:378,76
20180706-161018:693,18
20180706-161050:681,13
20180706-161135:686,2
20180706-161109:871,9
20180706-162009:765,3
20180706-162047:956,78
20180706-162106:869,32
20180706-162118:950,21
20180706-162449:618,12
20180706-162516:345,4
