start.time,v.M
20180715-073851:638,20
20180715-074517:840,22
20180715-075347:190,22
20180715-080354:824,74
20180715-115157:531,32
20180715-120442:406,19
20180715-122643:539,96
20180715-123417:903,12
20180715-124053:645,94
20180715-125304:200,56
20180715-144945:918,37
20180715-152004:990,4
20180716-010220:148,71
20180716-011232:755,10
