start.time,v.M
20180706-205509:560,52
20180706-205620:038,16
20180706-205455:940,8
20180706-205852:906,21
20180706-205833:302,39
20180706-205911:259,20
20180706-205822:293,22
20180706-205903:127,21
20180706-210459:692,18
20180706-210501:262,20
20180706-210257:241,16
20180706-210634:619,22
20180706-210623:313,47
20180706-210616:097,17
20180706-210410:897,4
20180706-210742:837,14
20180706-204349:223,34
20180706-210928:739,43
20180706-210932:196,83
20180706-211013:615,17
20180706-211014:423,21
20180706-210849:216,3
20180706-211100:369,19
20180706-211611:414,22
20180706-211651:732,17
20180706-211749:885,42
20180706-211757:254,22
20180706-211805:238,22
20180706-211850:844,22
20180706-212036:357,48
20180706-211735:866,0
20180706-212111:085,21
20180706-210319:623,26
20180706-212122:049,41
20180706-211824:138,8
20180706-212134:346,0
20180706-212259:561,16
20180706-212233:187,0
20180706-212658:110,19
20180706-212907:171,22
20180706-212854:292,18
20180706-212838:669,71
20180706-212947:758,18
20180706-212945:683,18
20180706-213119:035,24
20180706-213230:964,17
20180706-213218:361,21
20180706-213252:323,17
20180706-213450:129,16
20180706-213159:280,47
20180706-213239:556,3
20180706-213754:633,18
20180706-213654:116,10
20180706-214012:502,22
20180706-214017:672,16
20180706-214055:030,22
20180706-214120:142,19
20180706-214049:605,24
20180706-214239:379,22
20180706-214331:689,12
20180706-214355:648,71
20180706-211933:236,4
20180706-214604:339,22
20180706-214917:461,64
20180706-213229:964,23
20180706-214615:364,78
20180706-214714:487,4
20180706-215109:092,63
20180706-215140:111,22
20180706-215222:139,16
20180706-215318:945,18
20180706-215045:976,6
20180706-215241:506,32
20180706-215316:211,26
20180706-215527:470,14
20180706-215512:940,67
20180706-215725:447,16
20180706-220017:470,19
20180706-220240:165,21
20180706-220246:553,19
20180706-220331:808,16
20180706-220106:337,1
20180706-220114:395,6
20180706-220430:034,14
20180706-220451:828,51
20180706-220622:484,21
20180706-220649:882,18
20180706-220831:704,14
20180706-221109:229,32
20180706-221349:614,39
20180706-221438:417,36
20180706-221554:582,40
20180706-221653:591,17
20180706-220104:570,17
20180706-221936:015,35
20180706-215654:646,28
20180706-222239:208,34
20180706-222439:970,87
20180706-222608:370,16
20180706-222732:706,21
20180706-222822:985,20
20180706-223130:651,22
20180706-223400:327,16
20180706-223615:162,17
20180706-223746:235,26
20180706-223906:731,42
20180706-224006:187,16
20180706-224317:864,21
20180706-224508:954,16
20180706-224722:447,16
20180706-224846:473,15
20180706-223058:355,18
20180706-225053:994,22
20180706-225149:332,26
20180706-225421:108,18
20180706-225629:237,67
20180706-223208:009,29
20180706-225817:048,42
20180706-225941:878,24
20180706-230300:108,15
20180706-230337:712,21
20180706-230515:621,40
20180706-230715:775,13
20180706-230924:103,12
20180706-231019:375,14
20180706-231429:911,11
20180706-231509:117,21
20180706-231607:578,16
20180706-231758:016,46
20180706-230132:933,20
20180706-231957:020,35
20180706-232048:532,8
20180706-232524:336,15
20180706-232704:888,37
20180706-232659:812,23
20180706-230736:612,4
20180706-233612:536,17
20180706-233821:381,15
20180706-232933:467,22
