start.time,v.M
20180706-195938:672,23
20180706-195837:513,4
20180706-200042:881,20
20180706-200248:642,61
20180706-200251:035,17
20180706-200336:962,25
20180706-200514:003,42
20180706-200455:289,20
20180706-200758:096,36
20180706-200531:674,0
20180706-200607:045,7
20180706-200951:441,28
20180706-201124:180,65
20180706-201112:772,16
20180706-201111:619,22
20180706-201237:484,20
20180706-201356:488,17
20180706-201406:298,19
20180706-201607:816,20
20180706-201236:399,7
20180706-201557:861,16
20180706-201704:106,40
20180706-201936:001,40
20180706-202111:842,22
20180706-202230:012,22
20180706-202231:491,22
20180706-201951:395,4
20180706-200525:501,20
20180706-202251:751,22
20180706-202024:019,0
20180706-202406:378,22
20180706-202457:253,16
20180706-202519:080,20
20180706-202649:170,22
20180706-202747:413,22
