start.time,v.M
20180706-110814:306,0
20180706-121006:872,2
20180706-131831:279,2
20180706-142619:422,0
20180706-153438:955,6
20180706-164309:311,0
20180706-175139:166,2
20180706-185903:964,1
20180706-200719:919,4
20180706-212113:883,2
20180706-222902:631,6
20180706-233723:090,6
20180707-004523:123,2
20180707-015427:637,0
20180707-030512:370,0
20180707-041422:004,0
20180707-055035:435,2
20180707-072608:191,4
20180707-090327:543,0
20180707-104106:507,9
20180707-121633:247,2
20180707-132755:050,0
20180707-143901:205,0
20180707-155142:284,4
20180707-170535:295,8
20180707-181848:123,20
20180707-192942:276,2
20180707-204852:381,8
20180707-220116:564,5
20180707-231334:071,2
20180708-002505:125,2
20180708-013952:256,0
20180708-025326:160,2
20180708-041001:479,0
20180708-052333:874,0
20180708-063820:832,11
20180708-082006:553,10
20180708-100724:993,13
20180708-115106:917,8
20180708-133828:113,14
20180708-152035:629,0
20180708-162817:695,0
20180708-173012:615,0
20180708-183840:269,0
20180708-194943:861,0
20180708-205851:301,0
20180708-220610:328,0
