start.time,action,v.M
20180712-154847:198,RETAIN,10
20180712-154922:901,RETAIN,2
20180712-155015:854,RETAIN,25
20180712-154948:619,RETAIN,43
20180712-155114:941,RETAIN,0
20180712-155133:776,RETAIN,4
20180712-155159:137,RETAIN,2
20180712-155221:126,RETAIN,2
20180712-155252:300,RETAIN,2
20180712-155840:850,RETAIN,51
20180712-155918:018,RETAIN,12
20180712-155822:808,RETAIN,0
20180712-160019:013,RETAIN,18
20180712-155858:253,RETAIN,44
20180712-160124:288,RETAIN,20
20180712-160131:857,RETAIN,40
20180712-160106:004,RETAIN,57
20180712-160209:833,RETAIN,6
20180712-160843:701,RETAIN,82
20180712-160803:355,RETAIN,74
20180712-160947:832,RETAIN,86
20180712-160824:297,RETAIN,59
20180712-160938:977,RETAIN,80
20180712-161121:889,RETAIN,70
20180712-161130:456,RETAIN,82
20180712-155058:106,RETAIN,12
20180712-161124:573,RETAIN,82
20180712-161159:051,RETAIN,74
20180712-161816:391,RETAIN,67
20180712-161757:967,RETAIN,82
20180712-161920:971,RETAIN,84
20180712-161920:873,RETAIN,80
20180712-161852:687,RETAIN,82
20180712-162120:094,RETAIN,82
20180712-162128:945,RETAIN,77
20180712-162245:048,RETAIN,67
20180712-162218:471,RETAIN,72
20180712-162745:800,RETAIN,70
20180712-162811:439,RETAIN,78
20180712-162927:178,RETAIN,84
20180712-162942:488,RETAIN,76
20180712-162936:693,RETAIN,82
20180712-163111:547,RETAIN,81
20180712-163054:126,RETAIN,85
20180712-163232:361,RETAIN,75
20180712-163157:552,RETAIN,82
20180712-163708:881,RETAIN,80
20180712-161247:598,RETAIN,83
20180712-163743:313,RETAIN,84
20180712-163903:281,RETAIN,72
20180712-163910:393,RETAIN,77
20180712-163936:424,RETAIN,82
20180712-164057:373,RETAIN,82
20180712-164104:622,RETAIN,62
20180712-164214:731,RETAIN,80
20180712-164255:804,RETAIN,69
20180712-164638:820,RETAIN,11
20180712-164705:807,RETAIN,83
20180712-164852:629,RETAIN,77
20180712-164840:215,RETAIN,26
20180712-164916:270,RETAIN,80
20180712-165052:862,RETAIN,84
20180712-165040:755,RETAIN,80
20180712-165156:236,RETAIN,84
20180712-165239:911,RETAIN,84
20180712-165546:354,RETAIN,71
20180712-165631:312,RETAIN,86
20180712-165829:523,RETAIN,76
20180712-165827:979,RETAIN,82
20180712-163630:273,RETAIN,70
20180712-170017:096,RETAIN,82
20180712-170014:771,RETAIN,82
20180712-165917:956,RETAIN,77
20180712-170145:537,RETAIN,82
20180712-170217:232,RETAIN,82
20180712-170458:663,RETAIN,77
20180712-170604:400,RETAIN,49
20180712-170755:184,RETAIN,82
20180712-170733:279,RETAIN,78
20180712-170934:075,RETAIN,82
20180712-170941:028,RETAIN,78
20180712-170938:439,RETAIN,80
20180712-171111:313,RETAIN,67
20180712-171150:041,RETAIN,44
20180712-171408:661,RETAIN,81
20180712-171514:471,RETAIN,86
20180712-171714:169,RETAIN,56
20180712-171717:595,RETAIN,53
20180712-171835:050,RETAIN,81
20180712-171907:968,RETAIN,78
20180712-171901:861,RETAIN,32
20180712-172059:559,RETAIN,81
20180712-172310:180,RETAIN,76
20180712-172132:017,RETAIN,32
20180712-165918:181,RETAIN,80
20180712-172424:232,RETAIN,61
20180712-172633:593,RETAIN,67
20180712-172708:219,RETAIN,16
20180712-172807:113,RETAIN,81
20180712-172828:935,RETAIN,71
20180712-172849:280,RETAIN,49
