start.time,action,v.M
20180714-121001:319,RETAIN,15
20180714-121028:366,RETAIN,15
20180714-120959:160,RETAIN,31
20180714-121028:840,RETAIN,3
20180714-121237:186,RETAIN,12
20180714-121346:298,RETAIN,24
20180714-121225:352,RETAIN,0
20180714-121349:896,RETAIN,6
20180714-121454:283,RETAIN,0
20180714-121548:319,RETAIN,8
20180714-121526:711,RETAIN,4
20180714-121615:163,RETAIN,3
20180714-121637:683,RETAIN,0
20180714-121743:823,RETAIN,4
20180714-121818:228,RETAIN,0
20180714-121716:130,RETAIN,0
20180714-121836:755,RETAIN,3
20180714-121801:480,RETAIN,82
20180714-121732:775,RETAIN,3
20180714-121854:950,RETAIN,0
20180714-121810:045,RETAIN,62
20180714-121845:396,RETAIN,2
20180714-122047:728,RETAIN,2
20180714-122119:145,RETAIN,13
20180714-122144:427,RETAIN,5
20180714-122046:986,RETAIN,10
20180714-122416:590,RETAIN,13
20180714-122528:540,RETAIN,3
20180714-122458:310,RETAIN,7
20180714-122451:169,RETAIN,0
20180714-122554:195,RETAIN,2
20180714-122536:312,RETAIN,0
20180714-122657:307,RETAIN,86
20180714-122722:120,RETAIN,81
20180714-122721:299,RETAIN,3
20180714-122751:221,RETAIN,81
20180714-122734:769,RETAIN,4
20180714-122810:724,RETAIN,78
20180714-122833:136,RETAIN,0
20180714-122841:133,RETAIN,84
20180714-122909:545,RETAIN,4
20180714-121315:326,RETAIN,9
20180714-123012:174,RETAIN,7
20180714-121313:962,RETAIN,23
20180714-122924:458,RETAIN,15
20180714-123104:960,RETAIN,1
20180714-123333:999,RETAIN,7
20180714-123451:180,RETAIN,0
20180714-123443:281,RETAIN,6
20180714-123505:057,RETAIN,2
20180714-123509:802,RETAIN,82
20180714-123739:595,RETAIN,2
20180714-123542:115,RETAIN,6
20180714-123639:045,RETAIN,83
20180714-123603:872,RETAIN,2
20180714-123652:052,RETAIN,79
20180714-123651:629,RETAIN,2
20180714-123735:470,RETAIN,80
20180714-123817:282,RETAIN,82
20180714-123900:227,RETAIN,80
20180714-123900:828,RETAIN,3
20180714-123825:039,RETAIN,33
20180714-124051:379,RETAIN,2
20180714-124202:789,RETAIN,5
20180714-124302:873,RETAIN,18
20180714-124407:902,RETAIN,3
20180714-124423:039,RETAIN,0
20180714-124544:594,RETAIN,0
20180714-124515:217,RETAIN,10
20180714-124538:202,RETAIN,7
20180714-124533:568,RETAIN,13
20180714-124548:109,RETAIN,49
20180714-124542:927,RETAIN,20
20180714-124607:487,RETAIN,59
20180714-124725:394,RETAIN,66
20180714-124718:130,RETAIN,70
20180714-124741:749,RETAIN,1
20180714-124739:936,RETAIN,6
20180714-124912:368,RETAIN,11
20180714-124906:612,RETAIN,81
20180714-124815:751,RETAIN,81
20180714-125026:522,RETAIN,3
20180714-125213:477,RETAIN,27
20180714-123134:420,RETAIN,4
20180714-125335:508,RETAIN,40
20180714-125342:205,RETAIN,35
20180714-123212:551,RETAIN,14
20180714-125516:491,RETAIN,24
20180714-125523:610,RETAIN,66
20180714-125351:644,RETAIN,4
20180714-125524:739,RETAIN,82
20180714-125422:668,RETAIN,4
20180714-125406:416,RETAIN,2
20180714-125411:429,RETAIN,14
20180714-125546:680,RETAIN,1
20180714-125900:542,RETAIN,24
20180714-125649:984,RETAIN,48
20180714-130020:031,RETAIN,105
20180714-125659:601,RETAIN,69
20180714-125724:842,RETAIN,12
20180714-125951:055,RETAIN,24
20180714-125847:400,RETAIN,2
20180714-125656:245,RETAIN,12
20180714-130132:394,RETAIN,22
20180714-130157:518,RETAIN,24
20180714-125906:270,RETAIN,82
20180714-125902:746,RETAIN,82
20180714-130310:760,RETAIN,86
20180714-130327:990,RETAIN,23
20180714-130326:349,RETAIN,97
20180714-130445:807,RETAIN,30
20180714-130415:964,RETAIN,28
20180714-130505:975,RETAIN,24
20180714-130611:343,RETAIN,18
20180714-130355:986,RETAIN,71
20180714-130643:985,RETAIN,25
20180714-130625:605,RETAIN,23
20180714-130639:371,RETAIN,50
20180714-130603:996,RETAIN,12
20180714-130619:542,RETAIN,13
20180714-130820:777,RETAIN,0
20180714-130854:661,RETAIN,80
20180714-130833:989,RETAIN,96
20180714-130842:198,RETAIN,52
20180714-130756:203,RETAIN,24
20180714-130705:410,RETAIN,14
20180714-130847:890,RETAIN,75
20180714-131057:867,RETAIN,22
20180714-130951:929,RETAIN,10
20180714-130854:554,RETAIN,47
20180714-131229:000,RETAIN,72
20180714-131137:087,RETAIN,23
20180714-131257:649,RETAIN,28
20180714-131259:407,RETAIN,24
20180714-125239:331,RETAIN,12
20180714-130943:419,RETAIN,103
20180714-131312:144,RETAIN,20
20180714-131251:123,RETAIN,79
20180714-125135:636,RETAIN,15
20180714-131451:839,RETAIN,24
20180714-131434:337,RETAIN,24
20180714-131515:318,RETAIN,42
20180714-131525:080,RETAIN,30
20180714-131409:078,RETAIN,8
20180714-131718:613,RETAIN,27
20180714-131258:653,RETAIN,61
20180714-131644:454,RETAIN,89
20180714-131740:873,RETAIN,24
20180714-131841:810,RETAIN,27
20180714-131439:145,RETAIN,79
20180714-131531:235,RETAIN,117
20180714-131909:424,RETAIN,23
20180714-131854:118,RETAIN,22
