start.time,v.M
20180706-234354:251,1
20180706-235757:314,16
20180707-002533:829,28
20180707-001910:306,59
20180707-005237:522,21
20180707-005359:904,2
20180707-011955:447,22
20180707-012941:379,8
20180707-014735:123,15
20180707-020244:566,8
20180707-021439:933,55
20180707-024231:641,16
20180707-023640:860,11
20180707-030948:051,22
20180707-031006:193,4
20180707-033549:475,17
20180707-034519:102,7
20180707-040227:687,22
20180707-041956:452,18
20180707-042941:773,22
20180707-045555:529,0
20180707-045416:930,2
20180707-052406:158,22
20180707-055051:346,16
20180707-061659:159,31
20180707-064231:564,15
20180707-070836:936,27
20180707-073426:982,35
20180707-075934:758,29
20180709-110457:347,6
20180709-110751:997,93
20180709-110815:180,16
20180709-110610:325,5
20180709-111016:640,16
20180709-110943:017,18
20180709-111305:616,22
20180709-111235:934,22
20180709-111335:730,15
20180709-111949:344,17
20180709-111942:822,21
20180709-112154:514,20
20180709-112204:070,22
20180709-111928:196,1
20180709-110843:451,22
20180709-112107:580,21
20180709-112456:893,22
20180709-112519:202,23
20180709-112447:377,14
20180709-113202:238,16
20180709-113135:553,22
20180709-113410:220,22
20180709-113419:030,20
20180709-113700:865,90
20180709-113735:113,21
20180709-113446:566,0
20180709-113738:280,64
20180709-113645:343,3
20180709-114422:940,30
20180709-114422:258,15
20180709-114613:526,38
20180709-114612:578,17
20180709-114912:421,19
20180709-114947:040,22
20180709-115011:494,20
20180709-114958:024,22
20180709-113544:707,21
20180709-115129:322,2
20180709-115620:692,16
20180709-115723:590,20
20180709-115817:972,0
20180709-115840:053,21
20180709-120119:576,22
20180709-120214:444,21
20180709-120154:078,44
20180709-120759:034,42
20180709-120511:509,4
20180709-120610:119,12
20180709-120930:408,16
20180709-121023:702,21
20180709-121037:606,17
20180709-121315:730,22
20180709-121413:432,22
20180709-121426:761,79
20180709-121933:056,63
20180709-120517:542,20
20180709-122131:152,21
20180709-122216:208,20
20180709-122234:654,22
20180709-121959:909,0
20180709-122127:329,9
20180709-122509:013,21
20180709-122607:531,28
20180709-122627:412,17
20180709-123120:290,22
20180709-123359:237,18
20180709-123413:958,20
20180709-123432:095,22
20180709-123659:726,20
20180709-123724:754,22
20180709-123440:397,35
20180709-123825:468,16
20180709-123630:024,13
20180709-124250:052,21
20180709-124552:686,43
20180709-124603:540,54
20180709-124653:365,45
20180709-124847:827,21
20180709-124918:417,22
20180709-123310:520,21
20180709-125019:251,46
20180709-124922:547,10
20180709-125125:655,5
20180709-125450:855,24
20180709-125732:433,77
20180709-125745:289,22
20180709-125838:540,22
20180709-130027:852,22
20180709-130110:667,22
20180709-130300:648,21
20180709-130639:922,22
20180709-130431:696,3
20180709-130546:520,5
20180709-130906:225,16
20180709-131305:257,20
20180709-131252:774,13
20180709-131504:893,17
20180709-131756:857,17
20180709-130228:585,23
20180709-132046:735,16
20180709-131901:265,9
20180709-132036:322,4
20180709-132453:416,22
20180709-132520:089,17
20180709-132736:123,26
20180709-133023:043,22
20180709-135731:697,22
20180709-142526:494,20
20180709-145250:728,16
20180709-152008:201,20
20180709-154720:136,28
20180709-161433:749,18
