start.time,action,v.M
20180712-181611:845,RETAIN,8
20180712-181412:571,RETAIN,8
20180712-181418:719,RETAIN,9
20180712-181628:038,RETAIN,2
20180712-181334:643,RETAIN,8
20180712-181728:932,RETAIN,24
20180712-181844:086,RETAIN,42
20180712-181736:231,RETAIN,12
20180712-181656:083,RETAIN,10
20180712-181526:170,RETAIN,10
20180712-181740:447,RETAIN,40
20180712-181620:184,RETAIN,11
20180712-181703:037,RETAIN,4
20180712-181800:703,RETAIN,17
20180712-181854:199,RETAIN,4
20180712-182035:507,RETAIN,81
20180712-181733:681,RETAIN,12
20180712-181942:647,RETAIN,22
20180712-182009:938,RETAIN,12
20180712-180119:809,RETAIN,28
20180712-181854:479,RETAIN,62
20180712-180329:582,RETAIN,66
20180712-182139:247,RETAIN,4
20180712-182102:714,RETAIN,34
20180712-182259:359,RETAIN,9
20180712-182215:221,RETAIN,6
20180712-181919:495,RERUN,45
20180712-182005:096,RETAIN,29
20180712-182255:090,RETAIN,14
20180712-182143:760,RETAIN,13
20180712-182408:829,RETAIN,14
20180712-182627:792,RETAIN,5
20180712-182343:390,RETAIN,45
20180712-182635:752,RETAIN,8
20180712-182852:623,RETAIN,15
20180712-182323:274,RETAIN,8
20180712-182217:087,RERUN,3
20180712-182640:694,RETAIN,9
20180712-182606:606,RETAIN,6
20180712-182631:303,RETAIN,69
20180712-182703:317,RETAIN,11
20180712-182600:429,RETAIN,30
20180712-182534:739,RETAIN,6
20180712-182910:096,RETAIN,6
20180712-182713:475,RERUN,100
20180712-182409:675,RETAIN,2
20180712-183008:663,RETAIN,6
20180712-182925:635,RETAIN,20
20180712-182930:612,RERUN,11
20180712-182857:136,RETAIN,8
20180712-182922:250,RETAIN,70
20180712-183208:292,RETAIN,97
20180712-183122:400,RETAIN,4
20180712-183257:774,RETAIN,48
20180712-183403:129,RETAIN,53
20180712-183216:818,RETAIN,74
20180712-183307:273,RETAIN,10
20180712-183346:437,RERUN,4
20180712-181532:766,RETAIN,35
20180712-183216:625,RETAIN,82
20180712-183451:800,RETAIN,4
20180712-181709:542,RETAIN,35
20180712-183446:491,RETAIN,10
20180712-183627:773,RETAIN,6
20180712-183735:148,RETAIN,12
20180712-183258:360,RERUN,17
20180712-183359:478,RETAIN,9
20180712-183250:187,RETAIN,11
20180712-183214:953,RETAIN,16
20180712-183513:334,RETAIN,102
20180712-183738:992,RETAIN,8
20180712-183927:645,RETAIN,22
20180712-184110:117,RETAIN,0
20180712-183656:409,RETAIN,10
20180712-184016:999,RETAIN,94
20180712-183935:342,RETAIN,96
20180712-183554:255,RETAIN,87
20180712-183657:525,RETAIN,18
20180712-184153:259,RETAIN,7
20180712-184002:342,RETAIN,8
20180712-184142:118,RETAIN,100
20180712-184228:379,RETAIN,25
20180712-184239:645,RETAIN,19
20180712-184342:027,RETAIN,10
20180712-184027:582,RETAIN,13
20180712-184253:527,RETAIN,8
20180712-184407:402,RETAIN,9
20180712-184636:950,RETAIN,17
20180712-184556:652,RETAIN,7
20180712-182957:829,RETAIN,18
20180712-184431:233,RETAIN,12
20180712-184410:304,RETAIN,13
20180712-184657:799,RETAIN,4
20180712-182836:032,RETAIN,26
20180712-184643:139,RETAIN,26
20180712-184305:539,RETAIN,26
20180712-184650:049,RETAIN,12
20180712-184322:638,RETAIN,7
20180712-184444:740,RETAIN,62
20180712-184715:596,RETAIN,12
20180712-184810:273,RETAIN,12
20180712-185129:199,RETAIN,32
20180712-184818:527,RETAIN,16
20180712-184950:724,RETAIN,8
20180712-184917:970,RETAIN,8
20180712-185027:832,RETAIN,7
20180712-185001:378,RETAIN,46
