start.time,v.M
20180706-165839:085,5
20180706-170217:845,93
20180706-165938:457,60
20180706-170245:776,100
20180706-170008:336,5
20180706-170351:028,105
20180706-170423:670,111
20180706-170448:678,63
20180706-170518:293,97
20180706-170544:589,96
20180706-170729:059,21
20180706-170700:109,27
20180706-170756:947,18
20180706-170839:130,17
20180706-171451:767,61
20180706-171537:117,21
20180706-171638:064,27
20180706-171624:611,48
20180706-171354:842,81
20180706-171733:135,23
20180706-171710:580,21
20180706-171758:806,20
20180706-171856:338,17
20180706-172005:388,18
20180706-171857:647,71
20180706-171931:346,43
20180706-171529:150,81
20180706-171553:853,79
20180706-170320:086,117
20180706-165907:348,15
20180706-172828:272,63
20180706-172920:481,50
20180706-172912:780,23
20180706-172914:208,22
20180706-173100:438,20
20180706-173120:167,17
20180706-173115:055,41
20180706-173041:143,22
20180706-173051:912,25
20180706-173139:282,85
20180706-173059:880,0
20180706-172947:556,84
20180706-173147:687,78
20180706-173229:826,82
20180706-174308:752,22
20180706-174255:809,18
20180706-174247:051,16
20180706-174203:484,20
20180706-174233:062,24
20180706-174157:264,20
20180706-174212:776,20
20180706-174329:617,22
20180706-174417:482,15
20180706-174423:700,19
20180706-174350:002,22
20180706-174523:516,64
20180706-173303:678,38
20180706-174808:586,8
20180706-174834:305,83
20180706-175417:688,30
20180706-175432:747,45
20180706-175438:144,22
20180706-175457:363,19
20180706-175456:131,25
20180706-175610:183,37
20180706-175531:387,22
20180706-175600:812,19
20180706-175530:291,18
20180706-175712:732,24
20180706-175714:911,22
20180706-173617:047,81
20180706-180042:922,79
20180706-180523:348,22
20180706-180619:502,19
20180706-180624:337,21
20180706-180825:174,22
20180706-180743:003,23
20180706-180810:376,21
20180706-180510:030,78
20180706-180425:634,31
20180706-180844:405,21
20180706-180842:196,17
20180706-180951:737,24
20180706-180952:097,16
20180706-180901:727,20
20180706-181629:193,20
20180706-181758:031,18
20180706-181843:304,58
20180706-182001:545,17
20180706-181605:397,80
20180706-182018:325,22
20180706-182053:777,21
20180706-182118:336,19
20180706-180411:117,31
20180706-182144:751,20
20180706-182230:072,16
20180706-182250:561,27
20180706-182306:158,19
20180706-182055:978,86
20180706-182114:302,84
20180706-182733:813,29
20180706-182920:390,22
20180706-183054:107,22
20180706-183124:650,42
20180706-183235:282,20
20180706-183320:920,22
20180706-183333:190,22
20180706-183131:117,36
20180706-183431:671,20
20180706-183438:158,23
20180706-183527:425,21
20180706-183558:339,16
20180706-183842:282,21
20180706-183639:195,5
20180706-181405:276,77
20180706-184040:306,22
20180706-183659:057,0
20180706-184227:541,57
20180706-184333:336,44
20180706-184517:216,19
20180706-184557:197,22
20180706-184526:395,22
20180706-184712:412,17
20180706-184711:758,25
20180706-184745:970,22
20180706-184608:146,43
20180706-184945:991,17
20180706-184841:825,22
20180706-185205:108,15
20180706-183417:426,15
20180706-185432:698,19
20180706-185142:368,64
20180706-185540:978,36
20180706-185220:085,69
20180706-185727:298,20
20180706-185757:441,44
20180706-185758:162,16
20180706-185919:008,21
