start.time,v.M
20180703-145327:197,0
20180703-145315:419,7
20180703-152912:428,4
20180703-153128:800,4
20180703-160817:264,4
20180703-161013:476,16
20180703-164850:165,0
20180703-164714:174,13
20180703-172928:878,2
20180703-172707:612,6
20180703-180751:752,39
20180703-180850:083,13
20180703-184700:699,27
20180703-184729:373,0
20180703-192555:387,4
20180703-192633:727,32
20180703-200458:042,2
20180703-200444:632,34
20180703-204307:653,49
20180703-204521:128,25
20180703-213923:429,35
20180703-213913:306,0
20180703-223131:983,54
20180703-223230:114,4
20180703-232513:480,6
20180703-232433:407,2
20180704-000458:801,4
20180704-000808:409,0
20180704-004454:053,0
20180704-004849:613,14
20180704-012422:211,8
20180704-012914:682,6
20180704-020341:222,7
20180704-020912:744,4
20180704-024314:963,7
20180704-024835:009,0
20180704-032241:186,5
20180704-032749:482,1
20180704-040226:690,0
20180704-040725:335,1
20180704-044201:909,6
20180704-044659:229,7
20180704-052454:319,44
20180704-052616:700,39
20180704-061910:228,15
20180704-062037:195,74
20180704-071359:865,29
20180704-071527:905,22
20180704-080700:306,7
20180704-080939:589,5
20180704-084308:713,2
20180704-084926:509,57
20180704-092229:049,9
20180704-092555:539,4
20180704-095634:687,18
20180704-100224:928,5
20180704-103541:827,2
20180704-104112:706,2
20180704-111516:447,8
20180704-111739:879,0
20180704-115033:520,0
20180704-115352:119,6
20180704-122959:044,56
20180704-123317:620,2
20180704-130633:427,10
20180704-131014:806,68
20180704-134235:175,10
20180704-134650:091,2
20180704-143701:449,8
20180704-143208:934,3
20180704-152700:644,20
20180704-152700:305,16
20180704-161643:586,32
20180704-161721:811,39
20180704-165726:198,36
20180704-165828:457,18
20180704-173752:103,11
20180704-173938:300,11
20180704-181823:821,16
20180704-182039:484,18
20180704-185859:421,43
20180704-190123:880,7
20180704-193914:342,15
20180704-194314:003,47
20180704-201938:334,16
20180704-202345:114,24
20180704-210020:703,0
20180704-210424:340,48
20180704-214055:771,13
20180704-214520:799,35
20180704-222120:678,37
20180704-222608:190,39
20180704-231703:796,36
20180704-232139:878,38
20180705-001202:016,36
20180705-001736:260,37
