start.time,v.M
20180706-190033:564,14
20180706-190010:202,22
20180706-190002:060,19
20180706-190321:403,19
20180706-190219:299,19
20180706-190032:916,2
20180706-190615:914,22
20180706-190651:935,19
20180706-190915:044,20
20180706-190647:400,0
20180706-190957:817,14
20180706-191127:469,31
20180706-190942:150,46
20180706-190729:528,78
20180706-191126:598,20
20180706-191227:359,40
20180706-191229:745,22
20180706-191429:317,42
20180706-191445:661,16
20180706-191736:337,18
20180706-185203:618,81
20180706-191805:404,22
20180706-191536:608,0
20180706-192212:305,20
20180706-192121:616,22
20180706-190408:018,17
20180706-192212:562,38
20180706-192209:980,22
20180706-192320:828,21
20180706-192148:028,44
20180706-192214:608,10
20180706-192435:529,22
20180706-192608:730,22
20180706-192539:411,22
20180706-192730:721,22
20180706-192857:396,20
20180706-192919:584,16
20180706-193258:646,16
20180706-193019:583,2
20180706-193301:905,19
20180706-193439:650,22
20180706-193447:242,23
20180706-193531:611,19
20180706-193716:235,34
20180706-193651:527,21
20180706-193821:152,21
20180706-193634:253,0
20180706-193650:577,0
20180706-194025:157,80
20180706-194034:332,19
20180706-194000:594,23
20180706-194342:460,38
20180706-194443:342,24
20180706-194618:259,16
20180706-194429:983,17
20180706-194717:811,16
20180706-194639:554,20
20180706-194835:159,21
20180706-194855:694,50
20180706-195142:879,36
20180706-195142:269,58
20180706-195051:373,16
20180706-195245:029,17
20180706-195428:692,28
20180706-193358:914,38
20180706-195113:626,9
20180706-195126:081,0
20180706-192917:712,79
20180706-195623:128,22
20180706-195759:728,21
20180706-195925:145,20
20180706-195857:823,52
