Source,NCIP,Separated,Date,freq
SIM,1,NO,1938,2268
SIM,1,NO,1939,2272
STAT,1,YES,1999,6.823801090998052
STAT,1,YES,1998,6.825125963820144
STAT,1,YES,1997,6.826450868137911
STAT,4,NA,1899,8121.53843734983
STAT,1,YES,1989,6.837040757239709
STAT,1,YES,1988,6.838363074849753
STAT,1,YES,1987,6.839685319954247
STAT,1,YES,1986,6.841007640964316
STAT,1,YES,1996,6.827775681300382
STAT,1,YES,1995,6.829100300568379
STAT,1,YES,1994,6.83042465078131
STAT,1,YES,1993,6.831748653555113
STAT,1,YES,1992,6.83307225497811
STAT,1,YES,1991,6.834395435339569
STAT,1,YES,1990,6.83571824306621
SIM,1,NO,1910,2357
SIM,1,NO,1911,2275
STAT,4,NA,1883,5261.50582614876
STAT,4,NA,1882,5058.167512445833
STAT,4,NA,1881,4853.152198970359
STAT,4,NA,1880,4646.642549816531
STAT,4,NA,1887,6054.2705510813985
STAT,4,NA,1886,5859.535637957107
STAT,4,NA,1885,5662.335593310948
STAT,4,NA,1884,5462.954782273265
SIM,1,NO,1909,2286
STAT,4,NA,1879,4438.959762783639
STAT,4,NA,1878,4230.362669447546
STAT,4,NA,1877,4021.5142324548087
SIM,1,NO,1901,2316
SIM,1,NO,1902,2288
SIM,1,NO,1903,2286
SIM,1,NO,1904,2325
SIM,1,NO,1905,2263
SIM,1,NO,1906,2331
SIM,1,NO,1907,2281
SIM,1,NO,1908,2315
STAT,4,NA,1890,6621.695568062651
SIM,1,NO,1900,2297
STAT,4,NA,1894,7330.894584901242
STAT,4,NA,1893,7159.3574168839
STAT,4,NA,1892,6983.80462055548
STAT,4,NA,1891,6804.522800246673
STAT,4,NA,1898,7973.094713423301
STAT,4,NA,1897,7819.623142355524
STAT,4,NA,1896,7661.306226475352
STAT,4,NA,1895,7498.283083133668
STAT,4,NA,1889,6435.554980828174
STAT,4,NA,1888,6246.391402229942
SIM,2,NO,2006,1595
SIM,2,NO,2007,1649
SIM,2,NO,2004,1557
SIM,2,NO,2005,1601
SIM,2,NO,2008,1582
SIM,2,NO,2009,1592
SIM,2,YES,1874,6
SIM,2,YES,1875,5
STAT,1,YES,1959,6.876899015212173
SIM,2,YES,1872,6
STAT,1,YES,1958,6.878222608932294
SIM,2,YES,1873,6
STAT,1,YES,1957,6.879546595820367
SIM,2,NO,2002,1623
SIM,2,YES,1878,7
STAT,1,YES,1956,6.8808715715337625
SIM,2,NO,2003,1552
SIM,2,YES,1879,5
STAT,1,YES,1955,6.882198644760542
SIM,2,NO,2000,1623
SIM,2,YES,1876,6
STAT,1,YES,1954,6.88352813075797
SIM,2,NO,2001,1589
SIM,2,YES,1877,4
STAT,1,YES,1953,6.8848600197729795
STAT,1,YES,1963,6.871601531207901
STAT,1,YES,1962,6.8729271103996625
STAT,1,YES,1961,6.874251538379554
STAT,1,YES,1960,6.8755753026357365
SIM,2,YES,1870,6
SIM,2,YES,1871,5
STAT,1,NO,2015,2104.5153463548786
STAT,1,NO,2016,2104.107832071255
SIM,2,NO,2015,6
SIM,2,YES,1869,6
STAT,1,NO,2011,2106.146096604395
STAT,1,NO,2012,2105.738260415058
STAT,1,NO,2013,2105.3305391390836
STAT,1,NO,2014,2104.9229087134295
SIM,2,YES,1863,6
STAT,1,YES,1949,6.890217319326851
SIM,2,NO,2010,1582
SIM,2,YES,1864,6
STAT,1,YES,1948,6.891564311519147
SIM,2,YES,1861,7
STAT,1,YES,1947,6.892913777117897
SIM,2,YES,1862,5
STAT,1,NO,2010,2106.554070058183
STAT,1,YES,1946,6.894264918308401
SIM,2,YES,1867,6
SIM,2,NO,2013,1510
STAT,1,YES,1945,6.895617042161278
SIM,2,NO,2014,1602
SIM,2,YES,1868,5
STAT,1,YES,1944,6.896968222718612
SIM,2,NO,2011,1562
SIM,2,YES,1865,6
STAT,1,YES,1943,6.898320277733685
SIM,2,NO,2012,1555
SIM,2,YES,1866,5
STAT,1,YES,1942,6.899671419906065
STAT,1,YES,1952,6.886194635920154
STAT,1,YES,1951,6.8875321618696015
STAT,1,YES,1950,6.888873388834815
SIM,2,YES,1860,5
SIM,2,YES,1896,6
SIM,2,YES,1897,5
SIM,2,YES,1894,5
SIM,2,YES,1895,6
STAT,1,YES,1979,6.85028236879673
STAT,1,YES,1978,6.851611807746638
STAT,1,YES,1977,6.852942624286686
SIM,2,YES,1898,6
STAT,1,YES,1976,6.85427476312925
SIM,2,YES,1899,5
STAT,1,YES,1975,6.855608006988338
STAT,1,YES,1985,6.842330245880203
STAT,1,YES,1984,6.843653315149348
STAT,1,YES,1983,6.8449770702569595
STAT,1,YES,1982,6.8463017104248145
SIM,2,YES,1892,5
STAT,1,YES,1981,6.847627401241834
SIM,2,YES,1893,7
STAT,1,YES,1980,6.848954274182213
SIM,2,YES,1890,5
SIM,2,YES,1891,5
SIM,2,YES,1885,4
SIM,2,YES,1886,7
SIM,2,YES,1883,6
STAT,1,YES,1969,6.863617786028433
SIM,2,YES,1884,6
STAT,1,YES,1968,6.864951627046098
SIM,2,YES,1889,6
STAT,1,YES,1967,6.866284389088808
STAT,1,YES,1966,6.867615899796581
SIM,2,YES,1887,5
STAT,1,YES,1965,6.8689458962259335
SIM,2,YES,1888,6
STAT,1,YES,1964,6.870274506364099
STAT,1,YES,1974,6.85694210634414
STAT,1,YES,1973,6.858276931337971
STAT,1,YES,1972,6.859612261442558
STAT,1,YES,1971,6.860947811687108
SIM,2,YES,1881,6
STAT,1,YES,1970,6.862283085498885
SIM,2,YES,1882,5
SIM,2,YES,1880,6
SIM,3,NO,1898,769
SIM,1,NO,1970,2301
SIM,3,NO,1897,775
SIM,1,NO,1971,2240
SIM,3,NO,1896,757
SIM,1,NO,1972,2297
SIM,3,NO,1895,764
SIM,1,NO,1973,2258
SIM,3,YES,2014,1
SIM,1,NO,1974,2240
SIM,1,NO,1975,2263
STAT,1,YES,1919,6.930438635129989
SIM,1,NO,1976,2228
STAT,1,YES,1918,6.931816519392829
SIM,1,NO,1977,2255
SIM,3,NO,1899,765
STAT,1,YES,1917,6.933199465895213
SIM,3,NO,1890,739
STAT,1,YES,1916,6.934581985706926
STAT,1,YES,1915,6.935975243440692
STAT,1,YES,1914,6.937343472479369
STAT,1,YES,1913,6.938715209734548
SIM,3,NO,1894,782
STAT,1,YES,1912,6.940074979537859
SIM,3,NO,1893,742
STAT,1,YES,1911,6.941420523589381
SIM,3,NO,1892,790
STAT,1,YES,1910,6.942755297014093
SIM,3,NO,1891,726
SIM,1,NO,1967,2270
SIM,1,NO,1968,2234
SIM,1,NO,1969,2324
SIM,3,YES,2013,1
SIM,3,YES,2012,1
SIM,3,YES,2011,1
SIM,3,YES,2010,1
SIM,3,NO,1887,795
SIM,1,NO,1960,2243
SIM,3,NO,1886,804
SIM,3,NO,1885,754
SIM,1,NO,1961,2271
SIM,1,NO,1962,2244
SIM,3,NO,1884,785
SIM,1,NO,1963,2264
STAT,1,YES,1909,6.944052084659302
SIM,1,NO,1964,2262
STAT,1,YES,1908,6.945389622308079
SIM,1,NO,1965,2259
SIM,3,NO,1889,731
STAT,1,YES,1907,6.9466963279452045
SIM,1,NO,1966,2272
SIM,3,NO,1888,763
STAT,1,YES,1906,6.947982995641184
STAT,1,YES,1905,6.949231255135642
STAT,1,YES,1904,6.950486882371628
STAT,1,YES,1903,6.951818035351127
STAT,1,YES,1902,6.953114704209687
SIM,3,NO,1883,768
STAT,1,YES,1901,6.954404038835522
SIM,3,NO,1882,727
STAT,1,YES,1900,6.9556432803445984
SIM,3,NO,1881,767
SIM,3,NO,1880,735
SIM,1,NO,1956,2239
SIM,1,NO,1957,2310
SIM,1,NO,1958,2306
SIM,1,NO,1959,2249
SIM,3,NO,1876,730
SIM,1,NO,1992,2227
STAT,1,NO,2004,2109.005707147911
SIM,3,NO,1875,819
SIM,1,NO,1993,2242
STAT,1,NO,2005,2108.5966041888933
SIM,3,NO,1874,733
SIM,1,NO,1994,2250
SIM,2,YES,1858,6
STAT,1,NO,2006,2108.1877014619995
SIM,3,NO,1873,771
SIM,1,NO,1995,2232
SIM,2,YES,1859,5
STAT,1,NO,2007,2107.7790029700336
SIM,1,NO,1996,2244
STAT,1,NO,2000,2110.6438110433196
SIM,3,NO,1879,756
SIM,1,NO,1997,2276
STAT,1,NO,2001,2110.234077579722
SIM,1,NO,1998,2241
SIM,3,NO,1878,758
STAT,1,NO,2002,2109.8244636989443
SIM,3,NO,1877,805
SIM,1,NO,1999,2239
STAT,1,YES,1939,6.903703318359828
STAT,1,NO,2003,2109.414999336738
STAT,1,YES,1938,6.905040425165086
STAT,1,YES,1937,6.90637401982062
STAT,1,YES,1936,6.90770333191187
STAT,1,YES,1935,6.909025077994564
SIM,3,NO,1872,720
SIM,2,YES,1856,7
STAT,1,YES,1934,6.910343947418194
SIM,3,NO,1871,767
SIM,2,YES,1857,5
STAT,1,YES,1933,6.9116608217104005
SIM,3,NO,1870,782
SIM,1,NO,1990,2217
SIM,2,YES,1854,5
STAT,1,YES,1932,6.912976480813776
SIM,2,YES,1855,5
SIM,1,NO,1991,2279
STAT,1,YES,1931,6.914292071424124
STAT,1,YES,1941,6.90102026488764
STAT,1,YES,1940,6.902364276065235
SIM,1,NO,1989,2261
STAT,1,NO,2008,2107.370506329825
STAT,1,NO,2009,2106.962200515706
SIM,3,NO,1865,760
SIM,1,NO,1981,2264
SIM,3,YES,2006,1
SIM,3,NO,1864,752
SIM,1,NO,1982,2202
SIM,3,YES,2005,1
SIM,3,NO,1863,764
SIM,1,NO,1983,2237
SIM,3,NO,1862,730
SIM,1,NO,1984,2287
SIM,3,YES,2003,1
SIM,3,NO,1869,740
SIM,1,NO,1985,2309
SIM,3,NO,1868,750
SIM,1,NO,1986,2307
SIM,3,NO,1867,784
SIM,1,NO,1987,2234
SIM,3,YES,2008,1
STAT,1,YES,1929,6.916925551168675
SIM,3,NO,1866,770
SIM,1,NO,1988,2219
SIM,3,YES,2007,1
STAT,1,YES,1928,6.918244237548843
STAT,1,YES,1927,6.919568079141993
STAT,1,YES,1926,6.920899250269503
STAT,1,YES,1925,6.9222399066597315
STAT,1,YES,1924,6.923592116434493
SIM,3,NO,1861,775
