# This file is called ChildrenNumberOfMarriage.dat
# Value    Actual    Distribution
0.00    97    29.43
1.00    333    294.29
2.00    754    735.71
3.00    1120    1030.00
4.00    748    735.71
5.00    194    220.71
6.00    154    176.57
7.00    146    147.14
8.00    53    117.71
9.00    6    73.57
10.00    0    29.43
11.00    0    14.71
