Table BT.10: Fertility rates1 by council area 1991 to 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Age-specific fertility rates: live births to mothers in each age-group per 1,000 women of that age-group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mother's age and Registration Year,Scotland,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,City of Edinburgh1,Clackmannanshire,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,East Renfrewshire,Falkirk,Fife,Glasgow City,Highland,Inverclyde,Midlothian,Moray,Na h-Eileanan Siar1,North Ayrshire,North Lanarkshire,Orkney Islands,Perth & Kinross,Renfrewshire,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,West Dunbartonshire,West Lothian,Mother's age and Registration Year
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 to 192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 to 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,56.1,54.4,57.4,48.4,51.8,73.1,43,46.4,49.4,52,81.2,65.9,78.6,52.5,49.9,58.8,53.3,41.6,67.7,48.8,52.4,43.7,46,51.7,57.6,57.6,65,71,45.5,50.8,59.6,52.8,48.6,2013
2014,58.3,60.4,63.1,50.9,55.3,75.1,56.5,48.6,52.1,44.8,78.6,55.3,77.6,51.8,49.9,59.7,60.2,53.1,60.3,44.6,59.1,48.1,51.4,53.5,57.8,58.2,51.8,82.2,58.4,54.6,71.8,52.1,51.6,2014
2015,58.1,63.2,60.8,45.9,56.4,70.3,56.4,45,48.6,51.3,78.7,63.3,92.4,51.5,51.7,59.7,56.3,46.4,72.8,38.9,54.9,50.6,50.9,60,62.1,50.9,55.3,79.2,60.4,56.1,62.8,45.8,54.1,2015
2016,57.4,55.5,60.8,48.8,54.7,70.1,43.2,42.1,50.1,51.6,79.2,64.6,77.5,46.4,52.6,57.8,57.1,52,67.4,51,63,47,52.8,44.3,55.2,61.3,63.1,68.6,47.2,53.1,70.1,49.3,55.1,2016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scotland,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,City of Edinburgh1,Clackmannanshire,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,East Renfrewshire,Falkirk,Fife,Glasgow City,Highland,Inverclyde,Midlothian,Moray,Na h-Eileanan Siar1,North Ayrshire,North Lanarkshire,Orkney Islands,Perth & Kinross,Renfrewshire,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,West Dunbartonshire,West Lothian,
40 to 442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40 to 442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,4,3.7,4.8,1.4,3.9,5.6,3.2,4.1,5.1,3.1,4.4,3.6,5.5,2.1,3.1,5.8,5,4.6,2.4,6.6,5.2,2.8,2.9,11.3,3.4,3,2.6,1.3,3.8,3,4.9,4,2.7,1991
1992,4,3.8,4.6,5,4.5,5.2,2.3,3.8,3.1,2.6,3.3,4.6,5.5,3.1,3.1,5.5,5.4,2.7,3.3,3.9,11.6,4.4,3.4,5.7,3.8,2.5,3.9,2.6,3.3,3.7,4.1,2.2,3.7,1992
1993,4.3,4.8,4.4,3.8,5,7,2.9,2.2,3.8,2.2,3.3,4.7,5.9,1.8,3.3,5.1,4.6,2.1,2,5.3,9.5,4.6,4,4.3,4,4.7,2.8,2.6,3.6,3.8,5.3,4.3,3.7,1993
1994,4.5,5.6,4.5,4.1,7.1,6.1,3,4.3,3.1,3.7,4.8,5.1,5.6,2.3,3.1,5.6,5.1,4.5,4.2,7.2,5.4,3,4.3,7.3,4.4,2.9,5.4,5.2,3.1,4.4,2.8,5.9,3,1994
1995,4.9,5.1,4.7,2.3,8.2,5.6,7.2,4.5,4.7,3.2,5.6,5.3,7.3,3.1,5.2,5.9,5.8,5.5,4.2,5.8,11.2,3.8,3.1,1.5,4.8,3.5,8.6,7.8,3.8,4.3,4.9,5.1,4.1,1995
1996,5.4,5.5,4.4,5.5,6.5,8.6,3,3.4,4.8,2,4.8,4.3,9.2,3.7,4.9,8.1,4.2,4.6,4.2,4.4,9.9,5.7,4,8.9,4.8,5.8,6.2,9,5.1,4,6.7,4,2.2,1996
1997,5.4,6.9,3.8,4.4,6.4,7.8,2.4,5,3.4,4.1,6,9,9.3,3.3,4.5,6.9,7.1,2.7,4.8,5.6,7.9,4.1,4.7,13,4.7,6.2,5.2,3.8,3.8,4,6,2.7,4.7,1997
1998,5.9,6.3,5.5,4.4,6.6,6.8,7.4,6.3,5,5,4.8,6.2,9.6,3.6,5.8,6.9,6,4,5.6,6,10.3,4.9,5.4,3,7.3,5.8,9.5,8.8,5.1,5.1,6.1,5.7,4.4,1998
1999,6.1,7.6,7.2,5.4,8.1,8,4.5,5,4.6,3.7,7.2,7.7,8.5,3.1,4.9,7.2,8.3,6.1,2.9,4.4,9,5,4.9,7.4,7.1,6,6.4,12.4,5.5,5.9,5.8,2.5,5,1999
2000,6.1,5.4,4.2,5.5,9.1,10.7,6.1,5.6,5.7,2.3,7.5,7.7,6.7,6,4.6,5.9,7.7,5.5,5.7,8,11.4,4.7,4.8,8.5,7.7,5.3,5.1,10.3,5.9,4.6,8.3,5.2,5.1,2000
2001,6.5,5.7,5.7,6.1,7.7,9.4,4.9,6.2,6.2,4.1,6.7,7.7,8,4.6,5.3,7.4,8.8,4.5,4.3,5.5,8,4.6,5.5,7.1,6.7,7,9,5.1,6.4,5.3,8.2,5.2,6,2001
2002,6.6,5.2,6.7,4.1,7.5,10.3,5.3,4.4,5.7,4.1,7.5,8.6,8.8,6.6,6.2,8.2,7.6,3.8,6,5.1,5.6,4.9,4.2,7.1,7.1,6.6,9.1,12.5,5.4,5.6,7.7,6.8,4.9,2002
2003,7.3,5.9,6.9,7.7,6.8,11,2.1,4.5,4.9,5.1,8.9,9.8,9.7,5.4,5.4,8.2,8.7,5.4,8.8,9.7,13,4.6,6.8,8.2,8.7,5.7,8.8,14.9,4.8,6.4,8.4,6.4,7.6,2003
2004,8.2,7.5,7.2,5.4,5.8,12.8,8.6,6.4,7.3,5.8,8.4,8.3,11.8,5.4,5.8,9.6,9.9,7.1,7,6.9,10.4,6,8,13.4,10.1,7.7,12.2,9.3,7.4,7.3,8.2,6.6,6.7,2004
2005,8.4,7.9,9.1,7,9.1,13,5.9,7.2,5.6,8.6,11.2,9.1,10.6,6.2,5.4,9.7,11.8,7.2,6.1,7.4,8.2,7.9,6.4,9,7.4,7.3,9.6,9.3,9,6.3,9.3,7.3,8.6,2005
2006,8.7,8.6,7.5,6.7,10.5,12.9,9.7,6.6,7.6,4.4,8.5,13.1,10.7,7.3,6.6,9.7,10.4,7.2,9,9.5,12.2,5.8,7.6,5,10.2,9.1,11.9,11.3,8.8,7.8,9.2,6.2,6.9,2006
2007,9.2,8.6,9.2,6.9,8.5,14.2,10.2,9.2,7.3,5.7,7.5,11.6,10.9,6.9,8.1,9.8,10,9,12,9,8.2,7.6,7,10.8,9.1,9.6,10.5,9.4,4.7,8.2,10.6,8.4,10.2,2007
2008,10.2,10.4,11.1,7.4,12.3,15.4,6.5,6.1,7.9,6.1,9,15.6,12,9.1,10.3,11.1,12.2,6.4,8.8,7.8,11.9,8,9,13,10.4,10,10.3,7.1,8.2,8.9,10.9,7.7,10.3,2008
2009,10.3,7.5,11.6,9.3,12.8,14.5,7.9,9.9,10.3,6.3,12.5,13.7,12.9,10.5,8.8,12.2,10.9,8.9,9.7,9.1,14.8,7.4,8.3,9.6,9.5,7.8,12,9.6,8.5,10.3,11.1,7.8,8.3,2009
2010,10.7,9.7,11.1,8.8,12.7,18,8.9,7.6,8.2,7.7,11.1,13.9,14.5,7.6,8.6,12.1,13.7,7.2,8.6,8.7,11.6,8.8,9.7,14.6,9.8,8.1,11.1,7.2,8.1,9.7,10.7,8.2,9.8,2010
2011,11.2,11.6,10.6,9.3,10.3,18.1,7.1,8.3,10.4,9.5,14.1,10.8,14,10.8,8.3,13.5,12.4,10.7,9.4,10.5,14,8,8.6,12.4,11.2,11,12.5,10.9,12,10.7,11.2,7.6,8.6,2011
2012,11,13,9.4,11.9,14.4,17.1,8.9,7,11,6.3,11.7,11.3,15.4,10.8,8.7,13.9,12.3,6.8,10.7,7.8,7.1,7.3,8,17,10.7,10.9,12.7,10.8,8.5,10.9,12.3,6,9.4,2012
2013,11.6,10.8,10.2,13.7,13,16.7,9.6,9.7,9.5,8,15,15,15.8,9.6,9,13.1,13.2,8.8,10.2,9.7,14.1,10.9,8.5,10.7,8.9,9.6,11.4,16,13.2,10.6,15.3,6.1,14.1,2013
2014,12,13.2,10.7,8.7,11.3,19.7,9.8,10.2,10.6,10.8,11.4,10.5,16.2,8.1,10.7,14.7,11,6.5,12.5,11.4,19.5,9.8,8.4,5.5,12,12,13.7,10,11.8,10.5,13.1,6.5,11.9,2014
2015,11.7,13,11.5,11,11.3,16,7.9,7.5,9.6,8.9,14.1,12.4,17.7,9.9,10,16.5,11.1,12.6,11.6,7.9,14.2,7.1,10.4,16.6,11.6,10.2,10,7.6,11,10.3,10.1,10.6,7.7,2015
2016,12.7,14.9,11.5,7.4,12.2,17.2,12.1,12.2,9.6,9,14.3,14.2,16.7,8.6,10.9,15.5,14.1,8.5,16.3,12.1,15.7,7.7,10.3,10.3,13.3,11.7,13.7,19.4,12.6,11.9,14.8,11.8,10.2,2016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) The alphabetical order of the council areas has changed due to adoption of the preferred forms of reference to the Edinburgh and Western Isles council areas. Previous versions of this table used the forms 'Edinburgh, City of' and 'Eilean Siar'.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) The rates for the '15 to 19' and '40 to 44' age-groups are calculated by including, in the numerator, any births to mothers who were aged under 15 or were aged 45+, respectively. The denominators for those rates are just the total numbers of women aged 15-19 and 40-44 in the population of Scotland. These figures do not include any births for which the mother's age was not known.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
