Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks
20180706-204210:455,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1192223,31250,TRUE,58439,1y,10y,249408,500726,500726,1/1/1855,01/01/2015,77.76703346,280.8397843,2.55E-06,src/main/resources/valipop/results/batch53-fs/20180706-204210:455,0,0,0.5,0.1,TRUE,147,10229.21406,NONE,16,384.8416476,,
20180706-204125:194,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189344,31250,TRUE,58439,1y,10y,248871,499558,499558,1/1/1855,01/01/2015,64.48365996,411.0563852,1.96E-06,src/main/resources/valipop/results/batch53-fs/20180706-204125:194,0,0,0.8,0,TRUE,147,10130.49377,NONE,17,332.8933498,,
20180706-204359:842,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187631,31250,TRUE,58439,1y,10y,248481,498706,498706,1/1/1855,01/01/2015,74.08564249,250.7337941,2.20E-06,src/main/resources/valipop/results/batch53-fs/20180706-204359:842,0,0,0.6,0.2,TRUE,147,9087.852992,NONE,16,342.624959,,
20180706-204437:290,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1195979,31250,TRUE,58439,1y,10y,250274,502418,502418,1/1/1855,01/01/2015,71.3798451,251.8520137,2.10E-06,src/main/resources/valipop/results/batch53-fs/20180706-204437:290,0,0,0.7,0.5,TRUE,147,9116.54148,NONE,19,327.1620958,,
20180706-204510:446,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186710,31250,TRUE,58439,1y,10y,248486,498532,498532,1/1/1855,01/01/2015,70.89541852,254.2360508,2.33E-06,src/main/resources/valipop/results/batch53-fs/20180706-204510:446,0,0,0.6,0.2,TRUE,147,8897.003136,NONE,53,342.1559255,,
20180706-204644:856,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1241563,31250,TRUE,58439,1y,10y,260041,521340,521340,1/1/1855,01/01/2015,73.95535627,268.412962,1.96E-06,src/main/resources/valipop/results/batch53-fs/20180706-204644:856,0,0,0.6,0.1,TRUE,147,9053.062968,NONE,20,352.560561,,
20180706-204659:626,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1315158,31250,TRUE,58439,1y,10y,275448,552063,552063,1/1/1855,01/01/2015,80.81559065,259.2889243,1.90E-06,src/main/resources/valipop/results/batch53-fs/20180706-204659:626,0,0,0.7,0.5,TRUE,147,9017.468632,NONE,21,350.6994639,,
20180706-204820:208,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1192631,31250,TRUE,58439,1y,10y,249703,501153,501153,1/1/1855,01/01/2015,65.21500985,241.3774993,2.08E-06,src/main/resources/valipop/results/batch53-fs/20180706-204820:208,0,0,0.7,0.5,TRUE,147,8999.996824,NONE,22,323.653518,,
20180706-204724:819,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1234251,31250,TRUE,58439,1y,10y,258237,518635,518635,1/1/1855,01/01/2015,79.08249038,267.431888,1.98E-06,src/main/resources/valipop/results/batch53-fs/20180706-204724:819,0,0,0.6,0.2,TRUE,147,9171.442048,NONE,38,349.4424105,,
20180706-204731:280,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1323736,31250,TRUE,58439,1y,10y,277011,555786,555786,1/1/1855,01/01/2015,80.61774917,270.3030888,2.35E-06,src/main/resources/valipop/results/batch53-fs/20180706-204731:280,0,0,0.7,0.5,TRUE,147,9092.911288,NONE,16,346.5395619,,
20180706-204835:512,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1190200,31250,TRUE,58439,1y,10y,249046,499710,499710,1/1/1855,01/01/2015,74.62365556,437.4894912,2.08E-06,src/main/resources/valipop/results/batch53-fs/20180706-204835:512,0,0,0.8,0,TRUE,147,9214.061256,NONE,2,347.1673384,,
20180706-203417:415,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1192422,31250,TRUE,58439,1y,10y,249572,500870,500870,1/1/1855,01/01/2015,183.7202644,608.2698802,2.61E-06,src/main/resources/valipop/results/batch53-fs/20180706-203417:415,0,0,0.2,0.1,TRUE,147,8228.699808,NONE,20,945.7156712,,
20180706-204944:697,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186681,31250,TRUE,58439,1y,10y,248579,498759,498759,1/1/1855,01/01/2015,69.09865201,441.6658254,1.92E-06,src/main/resources/valipop/results/batch53-fs/20180706-204944:697,0,0,0.8,0,TRUE,147,9210.779312,NONE,1,353.0490901,,
20180706-205343:480,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187169,31250,TRUE,58439,1y,10y,248420,498352,498352,1/1/1855,01/01/2015,74.0132239,260.4588533,2.00E-06,src/main/resources/valipop/results/batch53-fs/20180706-205343:480,0,0,0.6,0.2,TRUE,147,10380.71596,NONE,22,339.4678564,,
20180706-205304:328,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187637,31250,TRUE,58439,1y,10y,248518,498351,498351,1/1/1855,01/01/2015,75.33652064,293.2354304,1.86E-06,src/main/resources/valipop/results/batch53-fs/20180706-205304:328,0,0,0.6,0.1,TRUE,147,9218.880328,NONE,23,345.8857954,,
20180706-205436:242,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1184341,31250,TRUE,58439,1y,10y,247749,497101,497101,1/1/1855,01/01/2015,75.82465986,273.3333821,2.13E-06,src/main/resources/valipop/results/batch53-fs/20180706-205436:242,0,0,0.6,0.1,TRUE,147,11196.61576,NONE,22,348.2504253,,
20180706-205530:040,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186552,31250,TRUE,58439,1y,10y,248174,498211,498211,1/1/1855,01/01/2015,71.24545962,247.7758419,2.20E-06,src/main/resources/valipop/results/batch53-fs/20180706-205530:040,0,0,0.7,0.5,TRUE,147,8899.146856,NONE,63,331.9454462,,
