Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time
20180706-170230:693,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593646,15625,TRUE,58439,1y,10y,124246,249304,249304,1/1/1855,01/01/2015,46.99405141,219.0218922,2.74E-06,src/main/resources/valipop/results/batch54-fs/20180706-170230:693,0,0,0.3,0.15,TRUE,147,5643.12492,NONE,8,338.2470333
20180706-170218:021,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,654331,15625,TRUE,58439,1y,10y,136991,274548,274548,1/1/1855,01/01/2015,46.67439368,220.3443771,6.11E-06,src/main/resources/valipop/results/batch54-fs/20180706-170218:021,0,0,0.35,0.2,TRUE,147,5643.10252,NONE,65,355.8516064
20180706-170237:712,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593125,15625,TRUE,58439,1y,10y,124056,249144,249144,1/1/1855,01/01/2015,40.80839007,241.897901,2.39E-06,src/main/resources/valipop/results/batch54-fs/20180706-170237:712,0,0,0.25,0.05,TRUE,147,5637.234376,NONE,30,339.6273925
20180706-170411:462,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,649833,15625,TRUE,58439,1y,10y,135883,272621,272621,1/1/1855,01/01/2015,45.60080761,378.3060276,2.50E-06,src/main/resources/valipop/results/batch54-fs/20180706-170411:462,0,0,0.25,0,TRUE,147,5973.1408,NONE,10,353.1761526
20180706-170556:957,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595435,15625,TRUE,58439,1y,10y,124743,249996,249996,1/1/1855,01/01/2015,44.59262586,394.4091932,2.30E-06,src/main/resources/valipop/results/batch54-fs/20180706-170556:957,0,0,0.05,0,TRUE,147,5808.949176,NONE,10,358.6067095
20180706-171134:638,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,640593,15625,TRUE,58439,1y,10y,134037,269082,269082,1/1/1855,01/01/2015,42.5991865,220.2846415,3.20E-06,src/main/resources/valipop/results/batch54-fs/20180706-171134:638,0,0,0.25,0.1,TRUE,147,5856.607808,NONE,32,354.7718742
20180706-171236:425,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,621169,15625,TRUE,58439,1y,10y,130073,260990,260990,1/1/1855,01/01/2015,48.57980452,217.1148018,2.59E-06,src/main/resources/valipop/results/batch54-fs/20180706-171236:425,0,0,0.3,0.15,TRUE,147,5711.24796,NONE,10,350.1091307
20180706-171242:478,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,664431,15625,TRUE,58439,1y,10y,138946,279121,279121,1/1/1855,01/01/2015,49.20539926,215.6992404,1.17E-05,src/main/resources/valipop/results/batch54-fs/20180706-171242:478,0,0,0.35,0.2,TRUE,147,5828.672792,NONE,18,352.8356973
20180706-171301:553,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,658292,15625,TRUE,58439,1y,10y,137773,276319,276319,1/1/1855,01/01/2015,44.02123201,228.2691408,2.62E-06,src/main/resources/valipop/results/batch54-fs/20180706-171301:553,0,0,0.25,0.05,TRUE,147,5720.215664,NONE,84,345.5063639
20180706-171710:044,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594262,15625,TRUE,58439,1y,10y,124421,249337,249337,1/1/1855,01/01/2015,41.86322087,356.9199865,2.58E-06,src/main/resources/valipop/results/batch54-fs/20180706-171710:044,0,0,0.25,0,TRUE,147,5363.10744,NONE,0,352.7609987
