Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,Binominal Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time
20180703-154643:090,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,650792,15625,TRUE,58439,1y,10y,136176,273366,273366,1/1/1855,01/01/2015,77.22792879,291.4557463,2.67E-06,src/main/resources/valipop/results/batch54-fs/20180703-154643:090,0,0,0.6,0.3,TRUE,147,5102.648288,NONE,11,370.1094372
20180703-155412:559,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,592480,15625,TRUE,58439,1y,10y,123916,248906,248906,1/1/1855,01/01/2015,47.01862758,220.5846212,2.40E-06,src/main/resources/valipop/results/batch54-fs/20180703-155412:559,0,0,0.6,1,TRUE,147,5813.79976,NONE,11,314.8730491
20180703-155417:714,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,597519,15625,TRUE,58439,1y,10y,124959,251003,251003,1/1/1855,01/01/2015,44.26704535,218.7332079,2.51E-06,src/main/resources/valipop/results/batch54-fs/20180703-155417:714,0,0,0.6,1,TRUE,147,4975.119016,NONE,31,326.2118523
20180703-155421:483,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,665676,15625,TRUE,58439,1y,10y,139269,279222,279222,1/1/1855,01/01/2015,50.47276792,239.8619008,2.79E-06,src/main/resources/valipop/results/batch54-fs/20180703-155421:483,0,0,0.6,1,TRUE,147,5776.760592,NONE,14,334.7421518
20180703-155432:069,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,661749,15625,TRUE,58439,1y,10y,138616,277688,277688,1/1/1855,01/01/2015,48.27580722,246.7581913,1.84E-06,src/main/resources/valipop/results/batch54-fs/20180703-155432:069,0,0,0.6,1,TRUE,147,5886.6764,NONE,26,329.2755925
20180703-155832:927,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593417,15625,TRUE,58439,1y,10y,124134,249449,249449,1/1/1855,01/01/2015,46.0088871,226.066817,3.21E-06,src/main/resources/valipop/results/batch54-fs/20180703-155832:927,0,0,0.6,1,TRUE,147,5459.56504,NONE,14,368.4451619
20180703-155827:410,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,611134,15625,TRUE,58439,1y,10y,127944,256585,256585,1/1/1855,01/01/2015,53.03289615,240.0826388,2.37E-06,src/main/resources/valipop/results/batch54-fs/20180703-155827:410,0,0,0.6,1,TRUE,147,5540.081016,NONE,4,354.9296444
20180703-155909:328,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,596073,15625,TRUE,58439,1y,10y,124702,250275,250275,1/1/1855,01/01/2015,102.1541904,309.4242934,1.78E-06,src/main/resources/valipop/results/batch54-fs/20180703-155909:328,0,0,0.6,1,TRUE,147,5910.785832,NONE,21,370.3659051
20180703-155905:072,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593605,15625,TRUE,58439,1y,10y,124157,249181,249181,1/1/1855,01/01/2015,103.6156515,312.2444415,2.83E-06,src/main/resources/valipop/results/batch54-fs/20180703-155905:072,0,0,0.6,1,TRUE,147,5755.882328,NONE,7,371.6076949
20180703-160409:020,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594988,15625,TRUE,58439,1y,10y,124433,249633,249633,1/1/1855,01/01/2015,42.35066639,358.3622504,4.18E-06,src/main/resources/valipop/results/batch54-fs/20180703-160409:020,0,0,0.6,0,TRUE,147,5748.190096,NONE,5,314.2614353
20180703-160357:571,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595194,15625,TRUE,58439,1y,10y,124517,249700,249700,1/1/1855,01/01/2015,48.67563389,373.0646035,2.29E-06,src/main/resources/valipop/results/batch54-fs/20180703-160357:571,0,0,0.6,0,TRUE,147,4617.932032,NONE,36,316.2129482
20180703-160449:603,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,598014,15625,TRUE,58439,1y,10y,125195,251206,251206,1/1/1855,01/01/2015,44.26743258,343.2243855,2.91E-06,src/main/resources/valipop/results/batch54-fs/20180703-160449:603,0,0,0.6,0,TRUE,147,5837.36588,NONE,10,324.1899721
20180703-155404:640,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,637112,15625,TRUE,58439,1y,10y,133393,267891,267891,1/1/1855,01/01/2015,112.7491718,508.0028896,3.15E-06,src/main/resources/valipop/results/batch54-fs/20180703-155404:640,0,0,0.6,0.3,TRUE,147,5010.569048,NONE,36,745.3594218
20180703-155403:247,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,659991,15625,TRUE,58439,1y,10y,138270,276942,276942,1/1/1855,01/01/2015,110.1637659,503.2158526,3.45E-06,src/main/resources/valipop/results/batch54-fs/20180703-155403:247,0,0,0.6,0.3,TRUE,147,4521.924976,NONE,36,753.2110147
20180703-160458:511,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,596391,15625,TRUE,58439,1y,10y,124902,250166,250166,1/1/1855,01/01/2015,49.75279471,347.8714124,1.65E-06,src/main/resources/valipop/results/batch54-fs/20180703-160458:511,0,0,0.6,0,TRUE,147,5264.901664,NONE,10,311.6058605
20180703-160915:140,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593717,15625,TRUE,58439,1y,10y,124320,249296,249296,1/1/1855,01/01/2015,46.90808336,390.6710837,2.31E-06,src/main/resources/valipop/results/batch54-fs/20180703-160915:140,0,0,0.6,0,TRUE,147,5722.432648,NONE,22,380.7182668
20180703-160917:523,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,655625,15625,TRUE,58439,1y,10y,137298,275425,275425,1/1/1855,01/01/2015,57.39647218,397.9274506,3.88E-06,src/main/resources/valipop/results/batch54-fs/20180703-160917:523,0,0,0.6,0,TRUE,147,5784.081832,NONE,22,361.0089777
20180703-161605:583,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594380,15625,TRUE,58439,1y,10y,124473,249341,249341,1/1/1855,01/01/2015,45.29344465,210.25619,2.86E-06,src/main/resources/valipop/results/batch54-fs/20180703-161605:583,0,0,0.3,0.6,TRUE,147,5749.334048,NONE,8,362.46489
20180703-161616:833,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593264,15625,TRUE,58439,1y,10y,124261,249083,249083,1/1/1855,01/01/2015,49.77597687,212.1473018,1.81E-06,src/main/resources/valipop/results/batch54-fs/20180703-161616:833,0,0,0.3,0.6,TRUE,147,5909.405648,NONE,74,357.1219767
20180703-161642:765,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,638949,15625,TRUE,58439,1y,10y,133760,268036,268036,1/1/1855,01/01/2015,46.84186069,208.8042368,8.63E-06,src/main/resources/valipop/results/batch54-fs/20180703-161642:765,0,0,0.3,0.6,TRUE,147,5901.225808,NONE,23,354.7401045
20180703-161657:810,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,660267,15625,TRUE,58439,1y,10y,138174,277186,277186,1/1/1855,01/01/2015,49.98688604,219.4933781,2.28E-06,src/main/resources/valipop/results/batch54-fs/20180703-161657:810,0,0,0.3,0.6,TRUE,147,6099.841696,NONE,31,350.1427751
20180703-161215:800,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,660828,15625,TRUE,58439,1y,10y,138363,277427,277427,1/1/1855,01/01/2015,79.84271557,467.5339385,2.23E-06,src/main/resources/valipop/results/batch54-fs/20180703-161215:800,0,0,0.6,0,TRUE,147,5919.048808,NONE,9,357.9764564
