Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks
20180706-224846:473,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1194665,31250,TRUE,58439,1y,10y,250253,501183,501183,1/1/1855,01/01/2015,68.67344559,250.4050444,2.34E-06,src/main/resources/valipop/results/batch53-fs/20180706-224846:473,0,0,0.9,0.2,TRUE,147,9973.472088,NONE,15,334.0554758,,
20180706-223058:355,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1322083,31250,TRUE,58439,1y,10y,276599,555232,555232,1/1/1855,01/01/2015,193.7650896,668.0240279,2.52E-06,src/main/resources/valipop/results/batch53-fs/20180706-223058:355,0,0,0.3,0.1,TRUE,147,9274.679128,NONE,18,968.0185557,,
20180706-225053:994,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1326854,31250,TRUE,58439,1y,10y,277951,556999,556999,1/1/1855,01/01/2015,81.97721305,284.7867557,2.43E-06,src/main/resources/valipop/results/batch53-fs/20180706-225053:994,0,0,0.9,0.1,TRUE,147,13073.43701,NONE,22,356.7554944,,
20180706-225149:332,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1282464,31250,TRUE,58439,1y,10y,268724,537679,537679,1/1/1855,01/01/2015,76.92340969,284.7663226,2.48E-06,src/main/resources/valipop/results/batch53-fs/20180706-225149:332,0,0,0.9,0.1,TRUE,147,11568.4122,NONE,26,344.0247917,,
20180706-225421:108,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189459,31250,TRUE,58439,1y,10y,249278,498889,498889,1/1/1855,01/01/2015,75.11091779,249.6424977,2.53E-06,src/main/resources/valipop/results/batch53-fs/20180706-225421:108,0,0,0.9,0.2,TRUE,147,12901.41938,NONE,18,327.4372174,,
20180706-225629:237,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1185127,31250,TRUE,58439,1y,10y,248039,497637,497637,1/1/1855,01/01/2015,69.78126394,251.1450796,2.27E-06,src/main/resources/valipop/results/batch53-fs/20180706-225629:237,0,0,1,0.2,TRUE,147,12841.42686,NONE,67,323.3070684,,
20180706-223208:009,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186733,31250,TRUE,58439,1y,10y,248365,498015,498015,1/1/1855,01/01/2015,167.9658997,1088.142464,2.43E-06,src/main/resources/valipop/results/batch53-fs/20180706-223208:009,0,0,0.5,0,TRUE,147,8830.718688,NONE,29,868.5521096,,
20180706-225817:048,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1330636,31250,TRUE,58439,1y,10y,278274,558341,558341,1/1/1855,01/01/2015,77.70341109,264.3518029,2.53E-06,src/main/resources/valipop/results/batch53-fs/20180706-225817:048,0,0,1,0.2,TRUE,147,9211.894424,NONE,42,322.4623162,,
20180706-225941:878,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187430,31250,TRUE,58439,1y,10y,248648,497800,497800,1/1/1855,01/01/2015,68.74591886,251.8620979,2.33E-06,src/main/resources/valipop/results/batch53-fs/20180706-225941:878,0,0,1,0.2,TRUE,147,12561.05548,NONE,24,314.4953915,,
20180706-230300:108,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186318,31250,TRUE,58439,1y,10y,248346,497849,497849,1/1/1855,01/01/2015,72.98315719,277.8267538,1.20E-05,src/main/resources/valipop/results/batch53-fs/20180706-230300:108,0,0,0.9,0.1,TRUE,147,9045.39448,NONE,15,336.5793514,,
20180706-230337:712,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186676,31250,TRUE,58439,1y,10y,248529,498282,498282,1/1/1855,01/01/2015,74.0094139,277.5541606,2.36E-06,src/main/resources/valipop/results/batch53-fs/20180706-230337:712,0,0,0.9,0.1,TRUE,147,12949.63697,NONE,21,337.3344484,,
20180706-230515:621,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1191178,31250,TRUE,58439,1y,10y,249661,500288,500288,1/1/1855,01/01/2015,71.24262785,258.8465444,2.19E-06,src/main/resources/valipop/results/batch53-fs/20180706-230515:621,0,0,1,0.2,TRUE,147,8852.048448,NONE,40,319.5997469,,
20180706-230715:775,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189559,31250,TRUE,58439,1y,10y,249159,499843,499843,1/1/1855,01/01/2015,68.89783251,254.4865014,2.68E-06,src/main/resources/valipop/results/batch53-fs/20180706-230715:775,0,0,1,0.2,TRUE,147,10931.32502,NONE,13,316.4466847,,
20180706-230924:103,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189613,31250,TRUE,58439,1y,10y,248991,498852,498852,1/1/1855,01/01/2015,69.61783656,247.6029798,2.67E-06,src/main/resources/valipop/results/batch53-fs/20180706-230924:103,0,0,1,0.2,TRUE,147,10942.71776,NONE,12,313.4303149,,
20180706-231019:375,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1188888,31250,TRUE,58439,1y,10y,248641,499179,499179,1/1/1855,01/01/2015,67.03260203,251.4098664,2.93E-06,src/main/resources/valipop/results/batch53-fs/20180706-231019:375,0,0,1,0.2,TRUE,147,8928.575576,NONE,14,308.4368291,,
20180706-231429:911,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1191507,31250,TRUE,58439,1y,10y,249744,499703,499703,1/1/1855,01/01/2015,71.76364761,264.1359334,2.71E-06,src/main/resources/valipop/results/batch53-fs/20180706-231429:911,0,0,1,0.1,TRUE,147,11409.23386,NONE,11,315.9486579,,
20180706-231509:117,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1322257,31250,TRUE,58439,1y,10y,276851,554925,554925,1/1/1855,01/01/2015,77.88170692,292.646408,2.28E-06,src/main/resources/valipop/results/batch53-fs/20180706-231509:117,0,0,1,0.1,TRUE,147,9041.108072,NONE,21,337.5164581,,
20180706-231607:578,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187340,31250,TRUE,58439,1y,10y,248459,498687,498687,1/1/1855,01/01/2015,71.54837378,262.8241254,2.39E-06,src/main/resources/valipop/results/batch53-fs/20180706-231607:578,0,0,1,0.2,TRUE,147,11994.39279,NONE,16,320.5176524,,
