Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,Binominal Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks
20180706-195938:672,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1327938,31250,TRUE,58439,1y,10y,277822,557412,557412,1/1/1855,01/01/2015,80.54764449,265.8298183,2.10E-06,src/main/resources/valipop/results/batch53-fs/20180706-195938:672,0,0,0.6,0.7,TRUE,147,9016.020656,NONE,23,356.5723374,,
20180706-195837:513,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189936,31250,TRUE,58439,1y,10y,248970,500033,500033,1/1/1855,01/01/2015,67.22711704,424.8627703,1.97E-06,src/main/resources/valipop/results/batch53-fs/20180706-195837:513,0,0,0.7,0,TRUE,147,8334.482816,NONE,4,344.1051037,,
20180706-200042:881,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1188484,31250,TRUE,58439,1y,10y,248523,498554,498554,1/1/1855,01/01/2015,77.76140311,264.763972,1.86E-06,src/main/resources/valipop/results/batch53-fs/20180706-200042:881,0,0,0.4,0.2,TRUE,147,9068.594408,NONE,20,369.7044519,,
20180706-200248:642,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1193668,31250,TRUE,58439,1y,10y,249947,501222,501222,1/1/1855,01/01/2015,75.30379135,246.9183207,2.01E-06,src/main/resources/valipop/results/batch53-fs/20180706-200248:642,0,0,0.6,0.7,TRUE,147,9070.616264,NONE,61,343.0635067,,
20180706-200251:035,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1188866,31250,TRUE,58439,1y,10y,248733,499261,499261,1/1/1855,01/01/2015,73.44204042,258.3962748,2.07E-06,src/main/resources/valipop/results/batch53-fs/20180706-200251:035,0,0,0.6,0.7,TRUE,147,9058.83404,NONE,17,341.0328361,,
20180706-200336:962,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1192455,31250,TRUE,58439,1y,10y,249499,500320,500320,1/1/1855,01/01/2015,77.32931861,289.0306861,1.86E-06,src/main/resources/valipop/results/batch53-fs/20180706-200336:962,0,0,0.4,0.1,TRUE,147,9106.76536,NONE,25,371.9867415,,
20180706-200514:003,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1246417,31250,TRUE,58439,1y,10y,261038,523818,523818,1/1/1855,01/01/2015,69.51235052,244.1936179,1.92E-06,src/main/resources/valipop/results/batch53-fs/20180706-200514:003,0,0,0.6,0.7,TRUE,147,8887.156728,NONE,42,337.4909256,,
20180706-200455:289,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1184383,31250,TRUE,58439,1y,10y,247941,497223,497223,1/1/1855,01/01/2015,78.37299598,277.4035234,1.12E-05,src/main/resources/valipop/results/batch53-fs/20180706-200455:289,0,0,0.4,0.1,TRUE,147,10836.68085,NONE,20,370.6541038,,
20180706-200758:096,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186201,31250,TRUE,58439,1y,10y,248148,497411,497411,1/1/1855,01/01/2015,75.01679005,263.0856987,2.09E-06,src/main/resources/valipop/results/batch53-fs/20180706-200758:096,0,0,0.5,0.2,TRUE,147,8929.953416,NONE,36,357.4392001,,
20180706-200531:674,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187227,31250,TRUE,58439,1y,10y,248495,498355,498355,1/1/1855,01/01/2015,76.26971189,436.1944071,2.16E-06,src/main/resources/valipop/results/batch53-fs/20180706-200531:674,0,0,0.7,0,TRUE,147,8281.489976,NONE,0,344.8135857,,
20180706-200607:045,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1192163,31250,TRUE,58439,1y,10y,249512,500874,500874,1/1/1855,01/01/2015,69.80327221,431.0928266,2.13E-06,src/main/resources/valipop/results/batch53-fs/20180706-200607:045,0,0,0.7,0,TRUE,147,8998.103088,NONE,7,353.2889923,,
20180706-200951:441,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189586,31250,TRUE,58439,1y,10y,248998,499132,499132,1/1/1855,01/01/2015,75.42987473,255.3970513,1.79E-06,src/main/resources/valipop/results/batch53-fs/20180706-200951:441,0,0,0.5,0.2,TRUE,147,9267.749192,NONE,28,347.2862307,,
20180706-201124:180,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186343,31250,TRUE,58439,1y,10y,248283,498846,498846,1/1/1855,01/01/2015,72.29615055,247.0347363,2.11E-06,src/main/resources/valipop/results/batch53-fs/20180706-201124:180,0,0,0.6,0.7,TRUE,147,9016.50568,NONE,65,344.026623,,
20180706-201112:772,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1198387,31250,TRUE,58439,1y,10y,250749,502955,502955,1/1/1855,01/01/2015,72.97858779,255.658685,1.89E-06,src/main/resources/valipop/results/batch53-fs/20180706-201112:772,0,0,0.5,0.2,TRUE,147,9277.792904,NONE,16,347.7869143,,
