Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time
20180705-143748:394,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2393232,62500,true,58439,1y,10y,500968,1004370,1004370,1/1/1855,1/1/2015,227.566292437,619.719622829,7.703E-6,src/main/resources/valipop/results/batch55-fs/20180705-143748:394,0.0,0.0,0.6,0.3,true,147,12610.61524,NONE,0.0,662.455505728
20180705-143837:704,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2386705,62500,true,58439,1y,10y,499651,1002425,1002425,1/1/1855,1/1/2015,246.243030355,622.269508468,6.248E-6,src/main/resources/valipop/results/batch55-fs/20180705-143837:704,0.0,0.0,0.6,0.3,true,147,9889.0898,NONE,0.0,640.771502431
20180705-143915:142,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2378664,62500,true,58439,1y,10y,498447,999194,999194,1/1/1855,1/1/2015,241.325162696,658.86737231,4.961E-6,src/main/resources/valipop/results/batch55-fs/20180705-143915:142,0.0,0.0,0.6,0.3,true,147,11943.053992,NONE,0.0,609.20723066
20180705-150310:636,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2388924,62500,true,58439,1y,10y,500337,1002411,1002411,1/1/1855,1/1/2015,223.927772793,621.605961592,3.459E-6,src/main/resources/valipop/results/batch55-fs/20180705-150310:636,0.0,0.0,0.6,1.0,true,147,10200.605192,NONE,0.0,619.776195295
20180705-150202:869,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2653728,62500,true,58439,1y,10y,555871,1114406,1114406,1/1/1855,1/1/2015,267.423564872,646.203064241,3.66E-6,src/main/resources/valipop/results/batch55-fs/20180705-150202:869,0.0,0.0,0.6,1.0,true,147,13495.278144,NONE,0.0,623.237546471
20180705-150431:694,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2397115,62500,true,58439,1y,10y,501194,1006077,1006077,1/1/1855,1/1/2015,246.369321488,661.324149043,3.383E-6,src/main/resources/valipop/results/batch55-fs/20180705-150431:694,0.0,0.0,0.6,1.0,true,147,13638.268272,NONE,0.0,591.29438004
20180705-150354:252,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2637438,62500,true,58439,1y,10y,551991,1107065,1107065,1/1/1855,1/1/2015,280.533911343,657.296769324,3.305E-6,src/main/resources/valipop/results/batch55-fs/20180705-150354:252,0.0,0.0,0.6,1.0,true,147,13742.803752,NONE,4.0,626.36176533
20180705-150305:915,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2653104,62500,true,58439,1y,10y,554865,1113631,1113631,1/1/1855,1/1/2015,274.437853974,686.0816971,4.565E-6,src/main/resources/valipop/results/batch55-fs/20180705-150305:915,0.0,0.0,0.6,1.0,true,147,14215.844992,NONE,0.0,666.741082845
20180705-152743:593,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2459697,62500,true,58439,1y,10y,514590,1032911,1032911,1/1/1855,1/1/2015,231.193752768,636.444879751,4.582E-6,src/main/resources/valipop/results/batch55-fs/20180705-152743:593,0.0,0.0,0.6,1.0,true,147,13599.944728,NONE,0.0,629.758325339
20180705-152747:012,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2640204,62500,true,58439,1y,10y,552531,1108457,1108457,1/1/1855,1/1/2015,264.457060468,643.408186109,3.542E-6,src/main/resources/valipop/results/batch55-fs/20180705-152747:012,0.0,0.0,0.6,1.0,true,147,14524.522504,NONE,0.0,631.031818593
20180705-153022:760,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2369902,62500,true,58439,1y,10y,496039,994215,994215,1/1/1855,1/1/2015,237.97858591,614.157855952,4.972E-6,src/main/resources/valipop/results/batch55-fs/20180705-153022:760,0.0,0.0,0.6,1.0,true,147,13818.479008,NONE,0.0,604.097436089
20180705-152938:331,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2389974,62500,true,58439,1y,10y,499944,1002451,1002451,1/1/1855,1/1/2015,239.941549162,657.022909913,2.797E-6,src/main/resources/valipop/results/batch55-fs/20180705-152938:331,0.0,0.0,0.6,1.0,true,147,13344.790336,NONE,0.0,612.038939184
20180705-153006:629,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2381333,62500,true,58439,1y,10y,498526,999681,999681,1/1/1855,1/1/2015,251.228910048,641.582010494,4.575E-6,src/main/resources/valipop/results/batch55-fs/20180705-153006:629,0.0,0.0,0.6,1.0,true,147,13548.381584,NONE,0.0,653.302251809
20180705-155249:461,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2380891,62500,true,58439,1y,10y,498232,1000041,1000041,1/1/1855,1/1/2015,214.644262297,1099.685500692,3.539E-6,src/main/resources/valipop/results/batch55-fs/20180705-155249:461,0.0,0.0,0.6,0.0,true,147,13916.550192,NONE,37.0,641.535817075
20180705-155332:980,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2369515,62500,true,58439,1y,10y,495768,995279,995279,1/1/1855,1/1/2015,233.215792567,1080.011552631,3.532E-6,src/main/resources/valipop/results/batch55-fs/20180705-155332:980,0.0,0.0,0.6,0.0,true,147,13713.22324,NONE,66.0,619.396631573
20180705-155454:915,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2497864,62500,true,58439,1y,10y,522629,1047244,1047244,1/1/1855,1/1/2015,246.366665112,1122.270669079,3.688E-6,src/main/resources/valipop/results/batch55-fs/20180705-155454:915,0.0,0.0,0.6,0.0,true,147,15106.43836,NONE,100.0,633.383732642
20180705-155446:543,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2655140,62500,true,58439,1y,10y,555765,1115385,1115385,1/1/1855,1/1/2015,264.314146689,1211.594483898,4.802E-6,src/main/resources/valipop/results/batch55-fs/20180705-155446:543,0.0,0.0,0.6,0.0,true,147,14371.754536,NONE,39.0,635.679525721
20180705-155600:391,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2382711,62500,true,58439,1y,10y,498508,1000784,1000784,1/1/1855,1/1/2015,246.840071632,1123.32809515,4.188E-6,src/main/resources/valipop/results/batch55-fs/20180705-155600:391,0.0,0.0,0.6,0.0,true,147,16459.552416,NONE,29.0,669.073378122
20180705-162551:949,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2382551,62500,true,58439,1y,10y,498705,1000988,1000988,1/1/1855,1/1/2015,236.409516663,1062.118016898,2.243E-6,src/main/resources/valipop/results/batch55-fs/20180705-162551:949,0.0,0.0,0.6,0.0,true,147,16550.66204,NONE,67.0,615.35174622
20180705-162532:877,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2367628,62500,true,58439,1y,10y,495324,993569,993569,1/1/1855,1/1/2015,214.493491045,1130.095439444,4.833E-6,src/main/resources/valipop/results/batch55-fs/20180705-162532:877,0.0,0.0,0.6,0.0,true,147,12814.830688,NONE,24.0,643.256708858
20180705-162824:112,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2373920,62500,true,58439,1y,10y,496551,996515,996515,1/1/1855,1/1/2015,233.029331821,1135.751961288,4.062E-6,src/main/resources/valipop/results/batch55-fs/20180705-162824:112,0.0,0.0,0.6,0.0,true,147,15610.359152,NONE,43.0,623.470080858
20180705-163005:821,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2375385,62500,true,58439,1y,10y,496995,996919,996919,1/1/1855,1/1/2015,232.808077516,1132.690315577,3.366E-6,src/main/resources/valipop/results/batch55-fs/20180705-163005:821,0.0,0.0,0.6,0.0,true,147,13887.618816,NONE,49.0,634.617563796
20180705-163007:282,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2643238,62500,true,58439,1y,10y,552968,1109712,1109712,1/1/1855,1/1/2015,271.204774703,1168.064284009,4.945E-6,src/main/resources/valipop/results/batch55-fs/20180705-163007:282,0.0,0.0,0.6,0.0,true,147,16965.243496,NONE,63.0,674.73041458
20180705-165751:938,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2376300,62500,true,58439,1y,10y,497126,996715,996715,1/1/1855,1/1/2015,244.175521577,583.319849354,3.188E-6,src/main/resources/valipop/results/batch55-fs/20180705-165751:938,0.0,0.0,0.3,0.6,true,147,16687.815776,NONE,0.0,702.712225849
20180705-165847:935,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2381846,62500,true,58439,1y,10y,498489,999615,999615,1/1/1855,1/1/2015,225.347641225,625.061717497,3.476E-6,src/main/resources/valipop/results/batch55-fs/20180705-165847:935,0.0,0.0,0.3,0.6,true,147,13562.488352,NONE,0.0,697.766613542
20180705-170143:149,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2380391,62500,true,58439,1y,10y,497988,1000154,1000154,1/1/1855,1/1/2015,240.569387775,646.623440425,3.385E-6,src/main/resources/valipop/results/batch55-fs/20180705-170143:149,0.0,0.0,0.3,0.6,true,147,11235.4904,NONE,0.0,683.484732342
20180705-170332:821,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2368531,62500,true,58439,1y,10y,495665,993670,993670,1/1/1855,1/1/2015,241.161294788,595.750577957,4.768E-6,src/main/resources/valipop/results/batch55-fs/20180705-170332:821,0.0,0.0,0.3,0.6,true,147,13479.964568,NONE,0.0,710.538201112
20180705-170529:789,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2383067,62500,true,58439,1y,10y,498791,1001676,1001676,1/1/1855,1/1/2015,255.06287735,633.258962622,4.637E-6,src/main/resources/valipop/results/batch55-fs/20180705-170529:789,0.0,0.0,0.3,0.6,true,147,13569.594864,NONE,0.0,712.296790089
20180705-172328:214,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2382802,62500,true,58439,1y,10y,498472,1001347,1001347,1/1/1855,1/1/2015,245.410769674,585.543781748,2.754E-6,src/main/resources/valipop/results/batch55-fs/20180705-172328:214,0.0,0.0,0.3,0.6,true,147,10647.761496,NONE,0.0,703.05582589
20180705-172443:381,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2376484,62500,true,58439,1y,10y,497436,998269,998269,1/1/1855,1/1/2015,228.666685263,628.404159627,3.299E-6,src/main/resources/valipop/results/batch55-fs/20180705-172443:381,0.0,0.0,0.3,0.6,true,147,14276.131264,NONE,0.0,751.947730732
20180705-172800:821,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2385961,62500,true,58439,1y,10y,499458,1001694,1001694,1/1/1855,1/1/2015,240.711625443,650.471428038,2.967E-6,src/main/resources/valipop/results/batch55-fs/20180705-172800:821,0.0,0.0,0.3,0.6,true,147,13932.494712,NONE,0.0,695.76408594
20180705-172927:766,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2385068,62500,true,58439,1y,10y,499328,1000709,1000709,1/1/1855,1/1/2015,240.709392092,599.15167352,4.737E-6,src/main/resources/valipop/results/batch55-fs/20180705-172927:766,0.0,0.0,0.3,0.6,true,147,14160.639736,NONE,0.0,685.843566713
20180705-173218:764,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2655477,62500,true,58439,1y,10y,555474,1114591,1114591,1/1/1855,1/1/2015,283.137811646,675.291932148,3.043E-6,src/main/resources/valipop/results/batch55-fs/20180705-173218:764,0.0,0.0,0.3,0.6,true,147,14266.024632,NONE,0.0,797.935044982
20180705-174908:694,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2646447,62500,true,58439,1y,10y,553521,1111548,1111548,1/1/1855,1/1/2015,274.862302046,645.652305629,4.372E-6,src/main/resources/valipop/results/batch55-fs/20180705-174908:694,0.0,0.0,0.3,0.3,true,147,12361.83192,NONE,3.0,705.787825617
20180705-175140:035,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2375390,62500,true,58439,1y,10y,497228,997068,997068,1/1/1855,1/1/2015,223.809651924,634.049990426,6.226E-6,src/main/resources/valipop/results/batch55-fs/20180705-175140:035,0.0,0.0,0.3,0.3,true,147,14027.666144,NONE,0.0,711.649925803
20180705-175500:761,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2382501,62500,true,58439,1y,10y,498544,1000680,1000680,1/1/1855,1/1/2015,240.611308398,600.267475504,4.573E-6,src/main/resources/valipop/results/batch55-fs/20180705-175500:761,0.0,0.0,0.3,0.3,true,147,14564.0574,NONE,2.0,695.037169647
20180705-175436:603,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2379691,62500,true,58439,1y,10y,497979,998982,998982,1/1/1855,1/1/2015,238.57998529,651.584937023,3.784E-6,src/main/resources/valipop/results/batch55-fs/20180705-175436:603,0.0,0.0,0.3,0.3,true,147,13654.040408,NONE,0.0,689.502636282
20180705-180143:568,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2339593,62500,true,58439,1y,10y,489458,981851,981851,1/1/1855,1/1/2015,250.650822203,612.532873992,3.838E-6,src/main/resources/valipop/results/batch55-fs/20180705-180143:568,0.0,0.0,0.3,0.3,true,147,13862.694784,NONE,0.0,720.355457492
20180705-181621:882,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2376457,62500,true,58439,1y,10y,497219,998467,998467,1/1/1855,1/1/2015,244.858384824,596.093809157,5.067E-6,src/main/resources/valipop/results/batch55-fs/20180705-181621:882,0.0,0.0,0.3,0.3,true,147,13391.561984,NONE,2.0,701.509338819
20180705-181757:144,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2380491,62500,true,58439,1y,10y,498158,999706,999706,1/1/1855,1/1/2015,224.318059737,621.415277789,3.469E-6,src/main/resources/valipop/results/batch55-fs/20180705-181757:144,0.0,0.0,0.3,0.3,true,147,14088.031656,NONE,0.0,719.554190206
20180705-182044:273,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2381002,62500,true,58439,1y,10y,498214,1000178,1000178,1/1/1855,1/1/2015,245.809790956,617.244499029,4.693E-6,src/main/resources/valipop/results/batch55-fs/20180705-182044:273,0.0,0.0,0.3,0.3,true,147,14232.821176,NONE,0.0,700.042108888
20180705-182102:971,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2646352,62500,true,58439,1y,10y,553975,1110780,1110780,1/1/1855,1/1/2015,267.29319416,698.655712654,2.182E-6,src/main/resources/valipop/results/batch55-fs/20180705-182102:971,0.0,0.0,0.3,0.3,true,147,14372.43296,NONE,27.0,713.184235144
20180705-182814:761,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2657989,62500,true,58439,1y,10y,556096,1115744,1115744,1/1/1855,1/1/2015,287.05567658,693.203789696,5.947E-6,src/main/resources/valipop/results/batch55-fs/20180705-182814:761,0.0,0.0,0.3,0.3,true,147,14424.7764,NONE,0.0,735.095142881
20180705-184210:421,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2389774,62500,true,58439,1y,10y,499603,1003362,1003362,1/1/1855,1/1/2015,248.74165583,584.818087713,4.931E-6,src/main/resources/valipop/results/batch55-fs/20180705-184210:421,0.0,0.0,0.3,1.0,true,147,14094.678984,NONE,0.0,703.796631969
20180705-184409:539,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2378843,62500,true,58439,1y,10y,497401,999601,999601,1/1/1855,1/1/2015,235.211129416,633.630124207,4.069E-6,src/main/resources/valipop/results/batch55-fs/20180705-184409:539,0.0,0.0,0.3,1.0,true,147,14165.495384,NONE,4.0,712.159964412
20180705-184654:959,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2478741,62500,true,58439,1y,10y,518600,1041093,1041093,1/1/1855,1/1/2015,252.61236549,611.843729448,5.2E-6,src/main/resources/valipop/results/batch55-fs/20180705-184654:959,0.0,0.0,0.3,1.0,true,147,14255.014,NONE,0.0,710.577521116
20180705-184909:800,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2636703,62500,true,58439,1y,10y,551766,1107327,1107327,1/1/1855,1/1/2015,263.453582499,679.714824113,3.459E-6,src/main/resources/valipop/results/batch55-fs/20180705-184909:800,0.0,0.0,0.3,1.0,true,147,14659.956344,NONE,60.0,720.31130817
20180705-185659:121,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2369486,62500,true,58439,1y,10y,496182,995778,995778,1/1/1855,1/1/2015,257.368480168,616.961847046,7.131E-6,src/main/resources/valipop/results/batch55-fs/20180705-185659:121,0.0,0.0,0.3,1.0,true,147,14236.27048,NONE,0.0,816.362803637
20180705-190753:846,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2380533,62500,true,58439,1y,10y,498219,1000577,1000577,1/1/1855,1/1/2015,247.448193166,588.629757379,4.657E-6,src/main/resources/valipop/results/batch55-fs/20180705-190753:846,0.0,0.0,0.3,1.0,true,147,14492.675464,NONE,0.0,700.616237054
20180705-191038:489,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2375801,62500,true,58439,1y,10y,497120,998359,998359,1/1/1855,1/1/2015,228.434903563,614.848618086,3.261E-6,src/main/resources/valipop/results/batch55-fs/20180705-191038:489,0.0,0.0,0.3,1.0,true,147,14841.171688,NONE,0.0,709.0899835
20180705-191317:840,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2380149,62500,true,58439,1y,10y,497765,999872,999872,1/1/1855,1/1/2015,241.750898367,592.871379347,4.406E-6,src/main/resources/valipop/results/batch55-fs/20180705-191317:840,0.0,0.0,0.3,1.0,true,147,14067.26148,NONE,0.0,712.258309585
20180705-191700:880,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2379129,62500,true,58439,1y,10y,497638,997478,997478,1/1/1855,1/1/2015,240.425959477,632.319005101,3.588E-6,src/main/resources/valipop/results/batch55-fs/20180705-191700:880,0.0,0.0,0.3,1.0,true,147,14603.141712,NONE,0.0,713.831540248
20180705-192517:799,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2379303,62500,true,58439,1y,10y,497770,998966,998966,1/1/1855,1/1/2015,255.333590526,616.566722222,3.029E-6,src/main/resources/valipop/results/batch55-fs/20180705-192517:799,0.0,0.0,0.3,1.0,true,147,14339.534736,NONE,0.0,713.965336089
20180705-193337:188,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2380931,62500,true,58439,1y,10y,497947,998996,998996,1/1/1855,1/1/2015,242.089032733,1093.136133036,1.5455E-5,src/main/resources/valipop/results/batch55-fs/20180705-193337:188,0.0,0.0,0.3,0.0,true,147,14710.522696,NONE,25.0,684.556262269
20180705-193638:297,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2381814,62500,true,58439,1y,10y,498520,999290,999290,1/1/1855,1/1/2015,223.349388219,1123.052189316,5.87E-6,src/main/resources/valipop/results/batch55-fs/20180705-193638:297,0.0,0.0,0.3,0.0,true,147,17086.781624,NONE,24.0,695.718152313
20180705-193911:698,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2388496,62500,true,58439,1y,10y,499727,1002292,1002292,1/1/1855,1/1/2015,246.155520986,1179.537237109,2.559E-6,src/main/resources/valipop/results/batch55-fs/20180705-193911:698,0.0,0.0,0.3,0.0,true,147,14510.455632,NONE,25.0,688.385491454
20180705-194334:367,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2375235,62500,true,58439,1y,10y,497097,996780,996780,1/1/1855,1/1/2015,234.402231081,1109.954914053,3.439E-6,src/main/resources/valipop/results/batch55-fs/20180705-194334:367,0.0,0.0,0.3,0.0,true,147,16031.45964,NONE,30.0,670.738500487
