Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,Binominal Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks
20180706-175417:688,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186823,31250,TRUE,58439,1y,10y,248483,498330,498330,1/1/1855,01/01/2015,68.59702977,256.2854784,2.01E-06,src/main/resources/valipop/results/batch53-fs/20180706-175417:688,0,0,0.5,0.6,TRUE,147,7588.614624,NONE,30,338.3256255,,
20180706-175432:747,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186324,31250,TRUE,58439,1y,10y,248355,498212,498212,1/1/1855,01/01/2015,76.38729561,273.3255905,1.89E-06,src/main/resources/valipop/results/batch53-fs/20180706-175432:747,0,0,0.5,0.6,TRUE,147,8129.682496,NONE,45,354.4534452,,
20180706-175438:144,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187475,31250,TRUE,58439,1y,10y,248458,498615,498615,1/1/1855,01/01/2015,78.46251892,272.2986224,1.88E-06,src/main/resources/valipop/results/batch53-fs/20180706-175438:144,0,0,0.5,0.6,TRUE,147,8208.632536,NONE,22,353.1576575,,
20180706-175457:363,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1193292,31250,TRUE,58439,1y,10y,249805,500543,500543,1/1/1855,01/01/2015,81.08980692,282.1764313,1.81E-06,src/main/resources/valipop/results/batch53-fs/20180706-175457:363,0,0,0.1,0.2,TRUE,147,8245.96316,NONE,19,399.8603902,,
20180706-175456:131,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1218214,31250,TRUE,58439,1y,10y,254908,511102,511102,1/1/1855,01/01/2015,80.97203319,303.8880609,2.29E-06,src/main/resources/valipop/results/batch53-fs/20180706-175456:131,0,0,0.1,0.1,TRUE,147,8347.95004,NONE,25,407.0452743,,
20180706-175610:183,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1275591,31250,TRUE,58439,1y,10y,267114,535870,535870,1/1/1855,01/01/2015,85.38213825,283.8228218,2.00E-06,src/main/resources/valipop/results/batch53-fs/20180706-175610:183,0,0,0.5,0.6,TRUE,147,8589.810648,NONE,37,363.0633645,,
20180706-175531:387,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187188,31250,TRUE,58439,1y,10y,248650,498018,498018,1/1/1855,01/01/2015,82.50962116,293.751578,2.30E-06,src/main/resources/valipop/results/batch53-fs/20180706-175531:387,0,0,0.1,0.1,TRUE,147,8394.637328,NONE,22,411.9813128,,
20180706-175600:812,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187496,31250,TRUE,58439,1y,10y,248424,498336,498336,1/1/1855,01/01/2015,81.72341445,277.4713487,1.92E-06,src/main/resources/valipop/results/batch53-fs/20180706-175600:812,0,0,0.1,0.2,TRUE,147,8489.804232,NONE,19,402.0912154,,
20180706-175530:291,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187593,31250,TRUE,58439,1y,10y,248483,498580,498580,1/1/1855,01/01/2015,83.5709856,307.6736318,2.11E-06,src/main/resources/valipop/results/batch53-fs/20180706-175530:291,0,0,0.1,0.1,TRUE,147,8427.566912,NONE,18,417.7264071,,
20180706-175712:732,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1192608,31250,TRUE,58439,1y,10y,249740,500695,500695,1/1/1855,01/01/2015,79.71673971,277.8405121,2.43E-06,src/main/resources/valipop/results/batch53-fs/20180706-175712:732,0,0,0.1,0.2,TRUE,147,8457.775824,NONE,24,399.1594517,,
20180706-175714:911,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1188330,31250,TRUE,58439,1y,10y,248765,498639,498639,1/1/1855,01/01/2015,83.31991585,271.4405259,1.92E-06,src/main/resources/valipop/results/batch53-fs/20180706-175714:911,0,0,0.1,0.2,TRUE,147,8584.980368,NONE,22,399.8059681,,
20180706-173617:047,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187289,31250,TRUE,58439,1y,10y,248574,498296,498296,1/1/1855,01/01/2015,180.5013527,1121.835432,2.57E-06,src/main/resources/valipop/results/batch53-fs/20180706-173617:047,0,0,0.1,0,TRUE,147,7040.97612,NONE,81,961.7876412,,
20180706-180042:922,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1191304,31250,TRUE,58439,1y,10y,249519,500176,500176,1/1/1855,01/01/2015,70.99774146,470.1003218,1.79E-06,src/main/resources/valipop/results/batch53-fs/20180706-180042:922,0,0,0.2,0,TRUE,147,8204.776264,NONE,79,378.8521401,,
20180706-180523:348,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1185864,31250,TRUE,58439,1y,10y,248270,497717,497717,1/1/1855,01/01/2015,69.307258,250.9300552,1.90E-06,src/main/resources/valipop/results/batch53-fs/20180706-180523:348,0,0,0.5,0.6,TRUE,147,8311.456256,NONE,22,343.1660615,,
20180706-180619:502,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1191954,31250,TRUE,58439,1y,10y,249241,500043,500043,1/1/1855,01/01/2015,77.75682445,267.4125507,2.13E-06,src/main/resources/valipop/results/batch53-fs/20180706-180619:502,0,0,0.5,0.6,TRUE,147,8263.877208,NONE,19,350.9759163,,
20180706-180624:337,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1322058,31250,TRUE,58439,1y,10y,276428,554963,554963,1/1/1855,01/01/2015,86.36599949,286.2803082,2.30E-06,src/main/resources/valipop/results/batch53-fs/20180706-180624:337,0,0,0.5,0.6,TRUE,147,8519.166,NONE,21,363.7257083,,
20180706-180825:174,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1184971,31250,TRUE,58439,1y,10y,248176,497854,497854,1/1/1855,01/01/2015,80.01609225,263.8644938,1.92E-06,src/main/resources/valipop/results/batch53-fs/20180706-180825:174,0,0,0.5,0.6,TRUE,147,8471.121832,NONE,22,349.9885993,,
20180706-180743:003,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1190578,31250,TRUE,58439,1y,10y,249170,499673,499673,1/1/1855,01/01/2015,81.24506738,274.3933077,2.13E-06,src/main/resources/valipop/results/batch53-fs/20180706-180743:003,0,0,0.1,0.2,TRUE,147,8416.489448,NONE,23,397.4098564,,
20180706-180810:376,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189479,31250,TRUE,58439,1y,10y,249144,499865,499865,1/1/1855,01/01/2015,77.66933395,282.9680014,1.75E-06,src/main/resources/valipop/results/batch53-fs/20180706-180810:376,0,0,0.1,0.1,TRUE,147,8615.61872,NONE,21,400.4638558,,
20180706-180510:030,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1188463,31250,TRUE,58439,1y,10y,248781,498925,498925,1/1/1855,01/01/2015,82.62321629,467.8280149,1.88E-06,src/main/resources/valipop/results/batch53-fs/20180706-180510:030,0,0,0.2,0,TRUE,147,8348.198136,NONE,78,393.0818168,,
