Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks
20180706-191229:745,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1319772,31250,TRUE,58439,1y,10y,276344,554004,554004,1/1/1855,01/01/2015,87.19752063,303.0005219,1.90E-06,src/main/resources/valipop/results/batch53-fs/20180706-191229:745,0,0,0.3,0.1,TRUE,147,8972.52516,NONE,22,396.6525182,,
20180706-191429:317,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1327626,31250,TRUE,58439,1y,10y,277704,557433,557433,1/1/1855,01/01/2015,80.52774534,266.0079911,2.08E-06,src/main/resources/valipop/results/batch53-fs/20180706-191429:317,0,0,0.6,0.5,TRUE,147,9080.10856,NONE,42,350.324552,,
20180706-191445:661,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189269,31250,TRUE,58439,1y,10y,248959,499241,499241,1/1/1855,01/01/2015,79.92178179,292.8837158,2.15E-06,src/main/resources/valipop/results/batch53-fs/20180706-191445:661,0,0,0.3,0.1,TRUE,147,9126.288384,NONE,16,389.7995455,,
20180706-191736:337,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1190201,31250,TRUE,58439,1y,10y,249075,499768,499768,1/1/1855,01/01/2015,74.19484275,259.2279296,1.97E-06,src/main/resources/valipop/results/batch53-fs/20180706-191736:337,0,0,0.6,0.5,TRUE,147,8888.76332,NONE,18,345.273716,,
20180706-185203:618,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1191816,31250,TRUE,58439,1y,10y,249441,500463,500463,1/1/1855,01/01/2015,175.9822203,1096.208516,2.51E-06,src/main/resources/valipop/results/batch53-fs/20180706-185203:618,0,0,0.2,0,TRUE,147,8275.098032,NONE,81,957.782763,,
20180706-191805:404,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1188535,31250,TRUE,58439,1y,10y,248827,499054,499054,1/1/1855,01/01/2015,74.69925765,255.3830909,1.64E-06,src/main/resources/valipop/results/batch53-fs/20180706-191805:404,0,0,0.6,0.5,TRUE,147,9069.34012,NONE,22,341.1783864,,
20180706-191536:608,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1282191,31250,TRUE,58439,1y,10y,268156,538350,538350,1/1/1855,01/01/2015,73.1418658,449.2724359,1.88E-06,src/main/resources/valipop/results/batch53-fs/20180706-191536:608,0,0,0.5,0,TRUE,147,9103.214376,NONE,0,358.1671521,,
20180706-192212:305,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1184192,31250,TRUE,58439,1y,10y,247828,497145,497145,1/1/1855,01/01/2015,65.92126807,239.9388079,1.81E-06,src/main/resources/valipop/results/batch53-fs/20180706-192212:305,0,0,0.6,0.6,TRUE,147,8940.949288,NONE,20,338.0627174,,
20180706-192121:616,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1185679,31250,TRUE,58439,1y,10y,247986,498499,498499,1/1/1855,01/01/2015,77.1456704,254.0080549,1.78E-06,src/main/resources/valipop/results/batch53-fs/20180706-192121:616,0,0,0.3,0.2,TRUE,147,8838.341096,NONE,22,366.8650724,,
20180706-190408:018,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1188447,31250,TRUE,58439,1y,10y,248858,498592,498592,1/1/1855,01/01/2015,184.5596509,621.9328081,2.34E-06,src/main/resources/valipop/results/batch53-fs/20180706-190408:018,0,0,0.1,0.1,TRUE,147,8561.90016,NONE,17,980.041955,,
