Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time
20180706-135545:428,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595916,15625,TRUE,58439,1y,10y,124733,250257,250257,1/1/1855,01/01/2015,44.203339,218.6293683,2.11E-06,src/main/resources/valipop/results/batch54-fs/20180706-135545:428,0,0,0.45,0.05,TRUE,147,5518.858216,NONE,98,350.4848631
20180706-135638:626,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595862,15625,TRUE,58439,1y,10y,124729,250065,250065,1/1/1855,01/01/2015,45.61389887,214.873201,2.28E-06,src/main/resources/valipop/results/batch54-fs/20180706-135638:626,0,0,0.45,0.05,TRUE,147,5859.01556,NONE,6,329.4118548
20180706-135632:845,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,597606,15625,TRUE,58439,1y,10y,125111,250928,250928,1/1/1855,01/01/2015,43.49482059,218.1871127,3.02E-06,src/main/resources/valipop/results/batch54-fs/20180706-135632:845,0,0,0.45,0.05,TRUE,147,5284.513592,NONE,8,340.6253698
20180706-135634:603,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595863,15625,TRUE,58439,1y,10y,124687,250297,250297,1/1/1855,01/01/2015,41.57969897,222.2370138,2.83E-06,src/main/resources/valipop/results/batch54-fs/20180706-135634:603,0,0,0.45,0.05,TRUE,147,5928.837904,NONE,37,337.1095983
20180706-135709:109,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,597500,15625,TRUE,58439,1y,10y,124987,251312,251312,1/1/1855,01/01/2015,43.17612502,221.4603012,1.98E-06,src/main/resources/valipop/results/batch54-fs/20180706-135709:109,0,0,0.45,0.05,TRUE,147,5801.504928,NONE,102,325.4869324
20180706-135836:610,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593900,15625,TRUE,58439,1y,10y,124336,249536,249536,1/1/1855,01/01/2015,40.60433591,183.632056,1.86E-06,src/main/resources/valipop/results/batch54-fs/20180706-135836:610,0,0,0.45,0.25,TRUE,147,5740.024256,NONE,64,294.3051398
20180706-135853:276,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,637574,15625,TRUE,58439,1y,10y,133553,267634,267634,1/1/1855,01/01/2015,45.3773536,203.3605706,3.21E-06,src/main/resources/valipop/results/batch54-fs/20180706-135853:276,0,0,0.45,0.25,TRUE,147,5618.654624,NONE,10,341.313345
20180706-135926:159,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,656789,15625,TRUE,58439,1y,10y,137408,275889,275889,1/1/1855,01/01/2015,55.60070214,214.0519634,1.94E-06,src/main/resources/valipop/results/batch54-fs/20180706-135926:159,0,0,0.45,0.25,TRUE,147,5729.574096,NONE,32,328.0729955
20180706-140027:470,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595589,15625,TRUE,58439,1y,10y,124649,250013,250013,1/1/1855,01/01/2015,45.79504302,206.6713599,2.84E-06,src/main/resources/valipop/results/batch54-fs/20180706-140027:470,0,0,0.45,0.25,TRUE,147,5880.041216,NONE,12,347.2724884
20180706-140026:455,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,592955,15625,TRUE,58439,1y,10y,124062,248985,248985,1/1/1855,01/01/2015,44.5704713,216.9049535,2.06E-06,src/main/resources/valipop/results/batch54-fs/20180706-140026:455,0,0,0.45,0.25,TRUE,147,5686.802072,NONE,22,340.901842
20180706-134843:695,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595220,15625,TRUE,58439,1y,10y,124486,250134,250134,1/1/1855,01/01/2015,94.77228397,476.9825578,3.19E-06,src/main/resources/valipop/results/batch54-fs/20180706-134843:695,0,0,0.4,0.25,TRUE,147,5547.337064,NONE,12,763.1163476
20180706-134854:343,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,599820,15625,TRUE,58439,1y,10y,125553,251798,251798,1/1/1855,01/01/2015,98.0886485,482.4797047,4.18E-06,src/main/resources/valipop/results/batch54-fs/20180706-134854:343,0,0,0.4,0.25,TRUE,147,5529.553808,NONE,19,761.9250866
20180706-140051:800,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594616,15625,TRUE,58439,1y,10y,124450,249525,249525,1/1/1855,01/01/2015,91.4075383,517.2495202,3.67E-06,src/main/resources/valipop/results/batch54-fs/20180706-140051:800,0,0,0.2,0.05,TRUE,147,5556.212512,NONE,66,806.1601918
20180706-140156:655,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,592115,15625,TRUE,58439,1y,10y,123937,248726,248726,1/1/1855,01/01/2015,101.5867533,522.1409313,2.83E-06,src/main/resources/valipop/results/batch54-fs/20180706-140156:655,0,0,0.2,0.05,TRUE,147,5692.590272,NONE,72,792.1827642
