Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time
20180704-163821:509,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,296252,7812,TRUE,58439,1y,10y,61952,124461,124461,1/1/1855,01/01/2015,58.99901764,342.7052995,2.77E-06,src/main/resources/valipop/results/batch54-fs/20180704-163821:509,0,0,0.6,1,TRUE,147,4861.756328,NONE,0,618.3038122
20180704-165015:036,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,324445,7812,TRUE,58439,1y,10y,67897,136038,136038,1/1/1855,01/01/2015,22.38804953,142.3609828,2.09E-06,src/main/resources/valipop/results/batch54-fs/20180704-165015:036,0,0,1,0.3,TRUE,147,4869.29432,NONE,0,225.0601128
20180704-165645:598,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,320583,7812,TRUE,58439,1y,10y,66986,134757,134757,1/1/1855,01/01/2015,21.99508331,137.8205747,1.92E-06,src/main/resources/valipop/results/batch54-fs/20180704-165645:598,0,0,1,0.6,TRUE,147,4991.57956,NONE,0,224.1122451
20180704-164508:135,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,296156,7812,TRUE,58439,1y,10y,61992,124418,124418,1/1/1855,01/01/2015,51.49176219,597.2072127,3.43E-06,src/main/resources/valipop/results/batch54-fs/20180704-164508:135,0,0,1,0,TRUE,147,4863.344912,NONE,68,556.4117784
20180704-170310:287,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,306929,7812,TRUE,58439,1y,10y,64252,128687,128687,1/1/1855,01/01/2015,21.11269233,133.2262796,2.13E-06,src/main/resources/valipop/results/batch54-fs/20180704-170310:287,0,0,1,1,TRUE,147,5027.960544,NONE,29,223.4435266
20180704-165522:917,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,332185,7812,TRUE,58439,1y,10y,69466,139517,139517,1/1/1855,01/01/2015,60.62365531,620.5926152,3.17E-06,src/main/resources/valipop/results/batch54-fs/20180704-165522:917,0,0,1,0,TRUE,147,4903.581464,NONE,74,579.4948707
20180704-170514:698,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,330742,7812,TRUE,58439,1y,10y,69191,138898,138898,1/1/1855,01/01/2015,61.29768748,345.3868122,3.04E-06,src/main/resources/valipop/results/batch54-fs/20180704-170514:698,0,0,1,0.3,TRUE,147,4889.048056,NONE,0,561.2931433
20180704-171625:245,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,298076,7812,TRUE,58439,1y,10y,62320,125231,125231,1/1/1855,01/01/2015,58.16054774,341.4524735,3.24E-06,src/main/resources/valipop/results/batch54-fs/20180704-171625:245,0,0,1,0.3,TRUE,147,4856.255304,NONE,3,549.8201647
20180704-172124:181,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,324078,7812,TRUE,58439,1y,10y,67761,136077,136077,1/1/1855,01/01/2015,57.89037873,328.6571831,2.64E-06,src/main/resources/valipop/results/batch54-fs/20180704-172124:181,0,0,1,0.6,TRUE,147,5016.114648,NONE,2,562.7473307
20180704-173215:882,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,299077,7812,TRUE,58439,1y,10y,62614,125541,125541,1/1/1855,01/01/2015,56.22735092,333.6709553,3.27E-06,src/main/resources/valipop/results/batch54-fs/20180704-173215:882,0,0,1,0.6,TRUE,147,5017.213952,NONE,0,631.3434453
