Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks
20180720-145652:459,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4759717,125000,true,58439,1y,10y,995549,1998904,1998904,1/1/1855,1/1/2015,703.546359607,1197.933436023,5.028E-6,src/main/resources/valipop/results/batch64-fs/20180720-145652:459,0.0,0.0,0.2,0.8,true,147,29713.082432,NONE,0.0,1.914721418,4214883,1534333
20180720-151430:667,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4751209,125000,true,58439,1y,10y,994797,1994106,1994106,1/1/1855,1/1/2015,638.524704868,1050.798206548,4.286E-6,src/main/resources/valipop/results/batch64-fs/20180720-151430:667,0.0,0.0,0.1,0.8,true,147,22997.937216,NONE,0.0,2.029009468,4347584,1671860
20180720-152819:537,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4753157,125000,true,58439,1y,10y,995213,1995305,1995305,1/1/1855,1/1/2015,633.297102149,1087.679110635,3.44E-6,src/main/resources/valipop/results/batch64-fs/20180720-152819:537,0.0,0.0,0.3,0.5,true,147,19638.016376,NONE,0.0,1.87862281,4371738,1694822
20180720-152851:752,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4764082,125000,true,58439,1y,10y,995702,1999254,1999254,1/1/1855,1/1/2015,702.848693523,1148.811937245,5.111E-6,src/main/resources/valipop/results/batch64-fs/20180720-152851:752,0.0,0.0,0.2,0.8,true,147,28436.64276,NONE,0.0,2.100997562,4387706,1705207
20180720-154255:037,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4776253,125000,true,58439,1y,10y,999698,2006684,2006684,1/1/1855,1/1/2015,648.611621324,1106.195755879,3.622E-6,src/main/resources/valipop/results/batch64-fs/20180720-154255:037,0.0,0.0,0.1,0.8,true,147,28742.412664,NONE,0.0,1.882055613,4373845,1685097
20180720-155715:660,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,5299922,125000,true,58439,1y,10y,1108784,2226374,2226374,1/1/1855,1/1/2015,756.659895764,1175.373773902,3.758E-6,src/main/resources/valipop/results/batch64-fs/20180720-155715:660,0.0,0.0,0.3,0.5,true,147,28918.9324,NONE,0.0,2.224410843,4873170,1917181
20180720-160000:603,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4758501,125000,true,58439,1y,10y,996440,1997014,1997014,1/1/1855,1/1/2015,709.493989949,1216.099265914,1.0065E-5,src/main/resources/valipop/results/batch64-fs/20180720-160000:603,0.0,0.0,0.2,0.8,true,147,29977.605928,NONE,0.0,1.900035131,4309982,1631090
20180720-161225:683,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4747316,125000,true,58439,1y,10y,993053,1992290,1992290,1/1/1855,1/1/2015,646.901030649,1067.663372108,3.744E-6,src/main/resources/valipop/results/batch64-fs/20180720-161225:683,0.0,0.0,0.1,0.8,true,147,29905.774584,NONE,0.0,1.941685545,4216229,1542550
20180720-162944:843,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4760561,125000,true,58439,1y,10y,996158,1998277,1998277,1/1/1855,1/1/2015,665.893814691,1157.380648683,5.126E-6,src/main/resources/valipop/results/batch64-fs/20180720-162944:843,0.0,0.0,0.3,0.5,true,147,30527.425128,NONE,0.0,1.831486383,4375022,1694336
20180720-163224:907,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4767322,125000,true,58439,1y,10y,997679,2001034,2001034,1/1/1855,1/1/2015,705.702538071,1204.673035009,2.3754E-5,src/main/resources/valipop/results/batch64-fs/20180720-163224:907,0.0,0.0,0.2,0.8,true,147,29375.187632,NONE,0.0,1.902819465,4276400,1593375
20180720-164115:539,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4760749,125000,true,58439,1y,10y,996725,1999361,1999361,1/1/1855,1/1/2015,649.815919176,1038.027670078,5.596E-6,src/main/resources/valipop/results/batch64-fs/20180720-164115:539,0.0,0.0,0.1,0.8,true,147,28151.194976,NONE,0.0,1.874882619,4385934,1705337
20180720-170023:519,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4757935,125000,true,58439,1y,10y,995823,1997516,1997516,1/1/1855,1/1/2015,647.598829812,1061.599868597,3.235E-6,src/main/resources/valipop/results/batch64-fs/20180720-170023:519,0.0,0.0,0.3,0.5,true,147,29688.43348,NONE,0.0,1.806645603,4384903,1705417
20180720-170433:785,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4747307,125000,true,58439,1y,10y,992921,1993260,1993260,1/1/1855,1/1/2015,681.980377326,1073.330696598,4.423E-6,src/main/resources/valipop/results/batch64-fs/20180720-170433:785,0.0,0.0,0.2,0.8,true,147,29356.542416,NONE,0.0,1.831806185,4309289,1634732
