Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks
20180709-113735:113,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1190952,31250,TRUE,58439,1y,10y,249337,500122,500122,1/1/1855,01/01/2015,83.2806795,281.0944425,1.87E-06,src/main/resources/valipop/results/batch53-fs/20180709-113735:113,0,0,0.5,0.8,TRUE,147,7785.274088,NONE,21,364.9512954,,
20180709-113446:566,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1190421,31250,TRUE,58439,1y,10y,248960,499854,499854,1/1/1855,01/01/2015,74.957462,483.9031931,2.14E-06,src/main/resources/valipop/results/batch53-fs/20180709-113446:566,0,0,0.55,0,TRUE,147,7897.261552,NONE,0,349.3943209,,
20180709-113738:280,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1325657,31250,TRUE,58439,1y,10y,277417,556359,556359,1/1/1855,01/01/2015,88.66179688,289.9220375,1.94E-06,src/main/resources/valipop/results/batch53-fs/20180709-113738:280,0,0,0.5,0.8,TRUE,147,8227.392624,NONE,64,371.8287712,,
20180709-113645:343,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1257282,31250,TRUE,58439,1y,10y,262980,527166,527166,1/1/1855,01/01/2015,79.10016661,455.1081354,1.93E-06,src/main/resources/valipop/results/batch53-fs/20180709-113645:343,0,0,0.55,0,TRUE,147,8575.57856,NONE,3,347.156888,,
20180709-114422:940,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1183826,31250,TRUE,58439,1y,10y,247676,497385,497385,1/1/1855,01/01/2015,73.92092947,294.7160799,1.72E-06,src/main/resources/valipop/results/batch53-fs/20180709-114422:940,0,0,0.55,0.05,TRUE,147,8412.409832,NONE,30,346.6745797,,
20180709-114422:258,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1331412,31250,TRUE,58439,1y,10y,278654,558738,558738,1/1/1855,01/01/2015,88.43190224,315.8274209,2.07E-06,src/main/resources/valipop/results/batch53-fs/20180709-114422:258,0,0,0.55,0.05,TRUE,147,7788.9444,NONE,15,374.1861191,,
20180709-114613:526,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189975,31250,TRUE,58439,1y,10y,249211,499504,499504,1/1/1855,01/01/2015,80.66086148,278.7025267,2.17E-06,src/main/resources/valipop/results/batch53-fs/20180709-114613:526,0,0,0.5,0.3,TRUE,147,7980.05068,NONE,38,362.5283498,,
20180709-114612:578,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1271057,31250,TRUE,58439,1y,10y,266011,533836,533836,1/1/1855,01/01/2015,84.09644223,289.3443359,1.57E-06,src/main/resources/valipop/results/batch53-fs/20180709-114612:578,0,0,0.5,0.3,TRUE,147,8623.810344,NONE,17,371.2163962,,
20180709-114912:421,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1193206,31250,TRUE,58439,1y,10y,249669,500901,500901,1/1/1855,01/01/2015,82.75563445,276.9715896,2.18E-06,src/main/resources/valipop/results/batch53-fs/20180709-114912:421,0,0,0.5,0.8,TRUE,147,7907.361432,NONE,19,364.7849315,,
20180709-114947:040,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1181216,31250,TRUE,58439,1y,10y,247318,496234,496234,1/1/1855,01/01/2015,83.81472224,275.3904817,1.86E-06,src/main/resources/valipop/results/batch53-fs/20180709-114947:040,0,0,0.5,0.8,TRUE,147,7973.333056,NONE,22,365.1582891,,
