Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks
20180720-160000:603,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4758501,125000,TRUE,58439,1y,10y,996440,1997014,1997014,1/1/1855,01/01/2015,709.4939899,1216.099266,1.01E-05,src/main/resources/valipop/results/batch64-fs/20180720-160000:603,0,0,0.2,0.8,TRUE,147,29977.60593,NONE,0,1.900035131,4309982,1631090
20180720-161225:683,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4747316,125000,TRUE,58439,1y,10y,993053,1992290,1992290,1/1/1855,01/01/2015,646.9010306,1067.663372,3.74E-06,src/main/resources/valipop/results/batch64-fs/20180720-161225:683,0,0,0.1,0.8,TRUE,147,29905.77458,NONE,0,1.941685545,4216229,1542550
20180720-162944:843,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4760561,125000,TRUE,58439,1y,10y,996158,1998277,1998277,1/1/1855,01/01/2015,665.8938147,1157.380649,5.13E-06,src/main/resources/valipop/results/batch64-fs/20180720-162944:843,0,0,0.3,0.5,TRUE,147,30527.42513,NONE,0,1.831486383,4375022,1694336
20180720-163224:907,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4767322,125000,TRUE,58439,1y,10y,997679,2001034,2001034,1/1/1855,01/01/2015,705.7025381,1204.673035,2.38E-05,src/main/resources/valipop/results/batch64-fs/20180720-163224:907,0,0,0.2,0.8,TRUE,147,29375.18763,NONE,0,1.902819465,4276400,1593375
20180720-164115:539,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4760749,125000,TRUE,58439,1y,10y,996725,1999361,1999361,1/1/1855,01/01/2015,649.8159192,1038.02767,5.60E-06,src/main/resources/valipop/results/batch64-fs/20180720-164115:539,0,0,0.1,0.8,TRUE,147,28151.19498,NONE,0,1.874882619,4385934,1705337
20180720-170023:519,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4757935,125000,TRUE,58439,1y,10y,995823,1997516,1997516,1/1/1855,01/01/2015,647.5988298,1061.599869,3.24E-06,src/main/resources/valipop/results/batch64-fs/20180720-170023:519,0,0,0.3,0.5,TRUE,147,29688.43348,NONE,0,1.806645603,4384903,1705417
20180720-170433:785,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4747307,125000,TRUE,58439,1y,10y,992921,1993260,1993260,1/1/1855,01/01/2015,681.9803773,1073.330697,4.42E-06,src/main/resources/valipop/results/batch64-fs/20180720-170433:785,0,0,0.2,0.8,TRUE,147,29356.54242,NONE,0,1.831806185,4309289,1634732
