# This file is called CohabitationAgeFemales.dat
# Value    Actual    Distribution
15.00    5082    5023.59
19.89    4939    5023.59
24.78    1654    1674.53
29.67    731    644.05
34.55    321    257.62
39.44    154    128.81
44.33    0    128.81
49.22    0    0.00
54.11    0    0.00
