# This file is called CohabitationThenMarriageAgeMales.dat
# Value    Actual    Distribution
15.00    15264    15111.64
19.89    15097    15111.64
24.78    5943    5876.75
29.67    3535    3358.14
34.55    1175    839.54
39.44    543    419.77
44.33    0    419.77
49.22    0    419.77
54.11    0    0.00
