# This file is called TimeFromCohabToMarriage.dat
# Value    Actual    Distribution
0.00    52    42.90
0.46    914    900.87
0.92    5853    5834.24
1.38    14684    14628.49
1.83    14642    14628.49
2.29    5776    5834.24
2.75    838    900.87
3.21    54    42.90
