# This file is called MarriageAgeFemales.dat
# Value    Actual    Distribution
15.00    15    1798.08
20.00    1484    2751.61
25.00    2539    790.07
30.00    1216    326.92
35.00    408    190.71
40.00    256    136.22
45.00    143    136.22
50.00    155    108.97
55.00    93    81.73
60.00    81    54.49
65.00    35    54.49
70.00    35    27.24
75.00    17    27.24
80.00    7    0.00
85.00    0    0.00
90.00    0    0.00
95.00    0    0.00
