# This file is called DivorceReasonMale.dat
Count    Value    Actual    Distribution
0    ADULTERY    11    8.59
1    BEHAVIOUR    14    22.71
2    DESERTION    1    0.61
3    SEPARATION_WITH_CONSENT    20    19.64
4    SEPARATION    16    10.44
