# This file is called ChildrenNumberOfAffairs.dat
# Value    Actual    Distribution
0.00    0    0.00
1.00    9    10.40
2.00    2    1.30
3.00    1    0.65
4.00    1    0.39
5.00    0    0.13
6.00    0    0.13
