# This file is called ChildrenNumberOfMarriage.dat
# Value    Actual    Distribution
0.00    40    7.18
1.00    80    71.80
2.00    232    179.50
3.00    262    251.30
4.00    136    179.50
5.00    47    53.85
6.00    29    43.08
7.00    33    35.90
8.00    16    28.72
9.00    5    17.95
10.00    1    7.18
11.00    0    3.59
