# This file is called ChildrenNumberOfCohabTheMarriage.dat
# Value    Actual    Distribution
0.00    17    3.14
1.00    26    31.43
2.00    74    78.57
3.00    122    110.00
4.00    74    78.57
5.00    30    23.57
6.00    21    18.86
7.00    9    15.71
8.00    7    12.57
9.00    4    7.86
10.00    1    3.14
11.00    0    1.57
