# This file is called CohabitationAgeMales.dat
# Value    Actual    Distribution
15.00    17    52.73
19.89    39    52.73
24.78    40    20.51
29.67    24    11.72
34.55    22    2.93
39.44    3    1.46
44.33    0    1.46
49.22    0    1.46
54.11    0    0.00
