# This file is called AgeAtDivorceMale.dat
# Value    Actual    Distribution
15.00    6    1.22
20.00    29    27.95
25.00    54    43.65
30.00    30    39.16
35.00    30    32.84
40.00    23    24.89
45.00    11    18.56
50.00    9    5.71
55.00    9    5.71
60.00    1    2.86
65.00    0    1.22
70.00    0    0.20
75.00    2    0.20
80.00    1    0.20
85.00    0    0.20
90.00    0    0.20
95.00    0    0.20
