# This file is called DivorceReasonFemale.dat
Count    Value    Actual    Distribution
0    ADULTERY    0    0.27
1    BEHAVIOUR    0    0.10
2    DESERTION    0    0.02
3    SEPARATION_WITH_CONSENT    0    0.43
4    SEPARATION    1    0.18
