# This file is called ChildrenNumberOfCohab.dat
# Value    Actual    Distribution
0.00    0    13.99
1.00    143    139.93
2.00    287    349.84
3.00    537    489.77
4.00    316    349.84
5.00    272    104.95
6.00    107    83.96
7.00    27    69.97
8.00    25    55.97
9.00    2    34.98
10.00    1    13.99
11.00    0    7.00
