# This file is called AgeAtDivorceFemale.dat
# Value    Actual    Distribution
15.00    0    0.02
20.00    0    0.50
25.00    1    0.66
30.00    0    0.57
35.00    0    0.45
40.00    0    0.34
45.00    1    0.24
50.00    0    0.07
55.00    0    0.07
60.00    1    0.04
65.00    0    0.02
70.00    0    0.00
75.00    0    0.00
80.00    0    0.00
85.00    0    0.00
90.00    0    0.00
95.00    0    0.00
