# This file is called CohabitationThenMarriageAgeFemales.dat
# Value    Actual    Distribution
15.00    12701    16449.81
19.89    16402    16449.81
24.78    8047    5483.27
29.67    3078    2108.95
34.55    1332    843.58
39.44    619    421.79
44.33    0    421.79
49.22    0    0.00
54.11    0    0.00
