# This file is called MarriageAgeMales.dat
# Value    Actual    Distribution
15.00    635    610.38
20.00    3317    3265.51
25.00    1494    1495.42
30.00    506    549.34
35.00    323    305.19
40.00    203    213.63
45.00    154    152.59
50.00    126    122.08
55.00    144    122.08
60.00    112    122.08
65.00    91    91.56
70.00    92    91.56
75.00    71    91.56
80.00    26    30.52
85.00    0    30.52
90.00    0    0.00
95.00    0    0.00
