1680	1	100000	123425
1680	1	100000	123425
1681	1	100000	123425
1682	7	100000	123425
1683	14	100000	123425
1684	34	100000	123425
1685	50	100000	123425
1686	70	100000	123425
1687	99	100000	123425
1688	152	100000	123425
1689	198	100000	123425
1690	242	100000	123425
1691	301	100000	123425
1692	390	100000	123425
1693	513	100000	123425
1694	643	100000	123425
1695	795	100000	123425
1696	960	100000	123425
1697	1167	100000	130238
1698	1405	100000	130238
1699	1685	100000	130238
1700	2005	100002	130238
1701	2366	100004	130238
1702	2751	100006	130238
1703	3223	100007	130238
1704	3699	100009	130238
1705	4246	100013	130238
1706	4810	100017	130238
1707	5418	100028	130238
1708	6028	100037	130238
1709	6699	100047	130238
1710	7376	100063	130238
1711	8150	100083	130238
1712	8910	100103	130238
1713	9727	100134	130238
1714	10564	100166	130238
1715	11443	100217	130238
1716	12406	100272	130238
1717	13357	100328	130238
1718	14340	100396	137052
1719	15361	100488	137052
1720	16455	100596	137052
1721	17611	100715	137052
1722	18742	100847	137052
1723	19890	101015	137052
1724	21094	101184	137052
1725	22334	101386	143865
1726	23638	101603	143865
1727	24946	101831	143865
1728	26343	102103	143865
1729	27717	102367	143865
1730	29133	102681	143865
1731	30537	103006	150678
1732	31962	103373	150678
1733	33527	103775	150678
1734	34996	104227	150678
1735	36518	104665	157492
1736	38132	105171	157492
1737	39775	105694	157492
1738	41441	106270	164305
1739	43180	106897	164305
1740	44897	107543	171118
1741	46704	108262	171118
1742	48414	108977	171118
1743	50263	109705	177932
1744	52173	110524	177932
1745	54065	111351	177932
1746	56113	112207	184745
1747	58020	113067	184745
1748	60063	114065	191558
1749	62227	115065	191558
1750	64269	116005	198372
1751	66323	117089	198372
1752	68394	118146	205185
1753	70511	119319	207821
1754	72740	120530	214634
1755	74888	121714	214634
1756	77086	122907	221447
1757	79320	124204	228261
1758	81531	125528	228261
1759	83824	126906	235074
1760	86142	128337	235074
1761	88585	129829	241888
1762	90972	131282	248701
1763	93299	132759	248701
1764	95750	134355	255514
1765	98207	135913	262328
1766	100657	137539	262328
1767	103127	139186	269141
1768	105588	140852	275954
1769	108080	142623	282768
1770	110573	144428	282768
1771	113131	146248	289581
1772	115630	148097	296394
1773	118170	149975	303208
1774	120738	151881	310021
1775	123339	153825	310021
1776	125938	155830	316834
1777	128481	157871	324018
1778	131037	159929	330832
1779	133642	161979	337645
1780	136280	164149	344458
1781	137816	166280	351272
1782	139341	168477	358085
1783	140709	170582	364898
1784	142155	172789	371712
1785	143556	175093	378525
1786	144970	177408	378525
1787	146343	179715	385338
1788	147677	181959	392152
1789	148969	184291	398965
1790	150181	186667	405778
1791	151395	189035	412592
1792	152661	191472	419405
1793	153907	193975	426219
1794	155090	196338	433032
1795	156199	198825	439845
1796	157420	201265	446659
1797	158635	203793	453472
1798	159926	206268	460285
1799	161210	208847	468974
1800	162331	211316	475788
1801	163589	213859	482601
1802	164589	216379	489414
1803	165676	218925	496228
1804	166915	221549	503041
1805	168032	224092	509854
1806	169192	226721	516668
1807	170257	229326	523481
1808	171260	231993	530295
1809	172091	234609	537108
1810	172837	237232	543921
1811	173516	239908	550735
1812	174290	242558	560362
1813	174790	245204	567175
1814	175203	247885	573921
1815	175846	250583	181029
1816	176357	253265	188940
1817	176700	255777	196850
1818	177225	258494	204760
1819	177781	261150	212670
1820	178270	263950	220581
