# This file is called ChildrenNumberOfCohabTheMarriage.dat
# Value    Actual    Distribution
0.00    418    197.65
1.00    1999    1976.49
2.00    4953    4941.22
3.00    6889    6917.71
4.00    4911    4941.22
5.00    1517    1482.37
6.00    1226    1185.89
7.00    968    988.24
8.00    755    790.60
9.00    449    494.12
10.00    127    197.65
11.00    0    98.82
