# This file is called AgeAtDivorceMale.dat
# Value    Actual    Distribution
15.00    3    1.18
20.00    35    26.85
25.00    44    41.95
30.00    30    37.64
35.00    35    31.56
40.00    26    23.91
45.00    11    17.84
50.00    4    5.49
55.00    2    5.49
60.00    4    2.74
65.00    1    1.18
70.00    0    0.20
75.00    2    0.20
80.00    0    0.20
85.00    0    0.20
90.00    0    0.20
95.00    0    0.20
