# This file is called MarriageAgeMales.dat
# Value    Actual    Distribution
15.00    589    539.92
20.00    2898    2888.55
25.00    1356    1322.79
30.00    462    485.92
35.00    308    269.96
40.00    197    188.97
45.00    143    134.98
50.00    125    107.98
55.00    94    107.98
60.00    88    107.98
65.00    70    80.99
70.00    58    80.99
75.00    47    80.99
80.00    17    27.00
85.00    0    27.00
90.00    0    0.00
95.00    0    0.00
