# This file is called CohabitationThenMarriageAgeMales.dat
# Value    Actual    Distribution
15.00    13690    13485.45
19.89    13452    13485.45
24.78    5382    5244.34
29.67    3190    2996.77
34.55    925    749.19
39.44    446    374.60
44.33    0    374.60
49.22    0    374.60
54.11    0    0.00
