# This file is called CohabitationAgeMales.dat
# Value    Actual    Distribution
15.00    3940    4124.36
19.89    4087    4124.36
24.78    1792    1603.92
29.67    1031    916.53
34.55    354    229.13
39.44    138    114.57
44.33    0    114.57
49.22    0    114.57
54.11    0    0.00
