# This file is called TimeFromCohabToMarriage.dat
# Value    Actual    Distribution
0.00    35    38.14
0.46    802    800.86
0.92    5233    5186.53
1.38    12981    13004.47
1.83    13052    13004.47
2.29    5137    5186.53
2.75    768    800.86
3.21    52    38.14
